Priority,Lead Type,Business Name,Cuisine Type,Address,Postcode,Phone,Website,Latitude,Longitude,Source,Contacted,Contact_Date,Contact_Notes
HIGH,Cooking Oil,2 Bro's,burger;pizza,"378, Ballards Lane, N12 2, London",N12 2,,https://www.2broslondon.com/northfinchley,51.6138906,-0.1766908,OpenStreetMap,False,,
HIGH,Cooking Oil,2 Bro's,burger;pizza,"378, Ballards Lane, N12 4, London",N12 4,,https://www.2broslondon.com/northfinchley,51.6138906,-0.1766908,OpenStreetMap,False,,
HIGH,Cooking Oil,2 Bro's,burger;pizza,"378, Ballards Lane, N12 6, London",N12 6,,https://www.2broslondon.com/northfinchley,51.6138906,-0.1766908,OpenStreetMap,False,,
HIGH,Cooking Oil,4 in One,kebab,"266, West Hendon Broadway, NW4 8, London",NW4 8,,,51.5786923,-0.240529,OpenStreetMap,False,,
HIGH,Cooking Oil,4 in One,kebab,"266, West Hendon Broadway, NW4 9, London",NW4 9,,,51.5786923,-0.240529,OpenStreetMap,False,,
HIGH,Cooking Oil,5pals,kebab,"Friern Barnet Road, N11 0, London",N11 0,,,51.613079,-0.1574701,OpenStreetMap,False,,
HIGH,Cooking Oil,5pals,kebab,"Friern Barnet Road, N11 1, London",N11 1,,,51.613079,-0.1574701,OpenStreetMap,False,,
HIGH,Cooking Oil,5pals,kebab,"Friern Barnet Road, N11 2, London",N11 2,,,51.613079,-0.1574701,OpenStreetMap,False,,
HIGH,Cooking Oil,5pals,kebab,"Friern Barnet Road, N11 3, London",N11 3,,,51.613079,-0.1574701,OpenStreetMap,False,,
HIGH,Cooking Oil,5pals,kebab,"Friern Barnet Road, N11 4, London",N11 4,,,51.613079,-0.1574701,OpenStreetMap,False,,
HIGH,Cooking Oil,5pals,kebab,"Friern Barnet Road, N11 5, London",N11 5,,,51.613079,-0.1574701,OpenStreetMap,False,,
HIGH,Cooking Oil,5pals,kebab,"Friern Barnet Road, N11 6, London",N11 6,,,51.613079,-0.1574701,OpenStreetMap,False,,
HIGH,Cooking Oil,5pals,kebab,"Friern Barnet Road, N11 7, London",N11 7,,,51.613079,-0.1574701,OpenStreetMap,False,,
HIGH,Cooking Oil,5pals,kebab,"Friern Barnet Road, N11 8, London",N11 8,,,51.613079,-0.1574701,OpenStreetMap,False,,
HIGH,Cooking Oil,5pals,kebab,"Friern Barnet Road, N11 9, London",N11 9,,,51.613079,-0.1574701,OpenStreetMap,False,,
HIGH,Cooking Oil,Ashfield Cafe,burger;coffee_shop;sandwich;kebab;breakfast;tea,"21, Ashfield Parade, N14 0, London",N14 0,+44 20 8447 9042,,51.6310124,-0.1286304,OpenStreetMap,False,,
HIGH,Cooking Oil,Ashfield Cafe,burger;coffee_shop;sandwich;kebab;breakfast;tea,"21, Ashfield Parade, N14 1, London",N14 1,+44 20 8447 9042,,51.6310124,-0.1286304,OpenStreetMap,False,,
