Priority,Lead Type,Business Name,Cuisine Type,Address,Postcode,Phone,Website,Latitude,Longitude,Source,Contacted,Contact_Date,Contact_Notes
HIGH,Cooking Oil,2 pl Dragon,chinese,"224c, Preston Road, HA9 0, London",HA9 0,+44 20 8904 0025,,51.5712387,-0.2946104,OpenStreetMap,False,,
HIGH,Cooking Oil,2 pl Dragon,chinese,"224c, Preston Road, HA9 1, London",HA9 1,+44 20 8904 0025,,51.5712387,-0.2946104,OpenStreetMap,False,,
HIGH,Cooking Oil,2 pl Dragon,chinese,"224c, Preston Road, HA9 2, London",HA9 2,+44 20 8904 0025,,51.5712387,-0.2946104,OpenStreetMap,False,,
HIGH,Cooking Oil,2 pl Dragon,chinese,"224c, Preston Road, HA9 3, London",HA9 3,+44 20 8904 0025,,51.5712387,-0.2946104,OpenStreetMap,False,,
HIGH,Cooking Oil,2 pl Dragon,chinese,"224c, Preston Road, HA9 4, London",HA9 4,+44 20 8904 0025,,51.5712387,-0.2946104,OpenStreetMap,False,,
HIGH,Cooking Oil,2 pl Dragon,chinese,"224c, Preston Road, HA9 5, London",HA9 5,+44 20 8904 0025,,51.5712387,-0.2946104,OpenStreetMap,False,,
HIGH,Cooking Oil,2 pl Dragon,chinese,"224c, Preston Road, HA9 6, London",HA9 6,+44 20 8904 0025,,51.5712387,-0.2946104,OpenStreetMap,False,,
HIGH,Cooking Oil,A1 Chicken Hut,chicken,"379, High Road Wembley, HA9 7, London",HA9 7,,,51.5534256,-0.2919373,OpenStreetMap,False,,
HIGH,Cooking Oil,A1 Chicken Hut,chicken,"379, High Road Wembley, HA9 8, London",HA9 8,,,51.5534256,-0.2919373,OpenStreetMap,False,,
HIGH,Cooking Oil,A1 Chicken Hut,chicken,"379, High Road Wembley, HA9 9, London",HA9 9,,,51.5534256,-0.2919373,OpenStreetMap,False,,
HIGH,Cooking Oil,Al Dayaa Grill,fish;kebab;pizza,"7, Malvern Road, NW6 4, London",NW6 4,+44 20 7625 9111,,51.5280592,-0.19753,OpenStreetMap,False,,
HIGH,Cooking Oil,Alex Plaice,fish_and_chips,"314, NW6 7, London",NW6 7,,,51.544748,-0.2011411,OpenStreetMap,False,,
HIGH,Cooking Oil,American Charcoal,kebab,"3, Wembley Hill Road, HA9 7, London",HA9 7,,,51.5536467,-0.2871124,OpenStreetMap,False,,
HIGH,Cooking Oil,American Charcoal,kebab,"3, Wembley Hill Road, HA9 8, London",HA9 8,,,51.5536467,-0.2871124,OpenStreetMap,False,,
HIGH,Cooking Oil,BFC,kebab,"74, Craven Park Road, NW10 0, London",NW10 0,,,51.5393466,-0.2514032,OpenStreetMap,False,,
HIGH,Cooking Oil,BFC,kebab,"74, Craven Park Road, NW10 2, London",NW10 2,,,51.5393466,-0.2514032,OpenStreetMap,False,,
HIGH,Cooking Oil,BFC,kebab,"74, Craven Park Road, NW10 4, London",NW10 4,,,51.5393466,-0.2514032,OpenStreetMap,False,,
HIGH,Cooking Oil,BFC,kebab,"74, Craven Park Road, NW10 6, London",NW10 6,,,51.5393466,-0.2514032,OpenStreetMap,False,,
HIGH,Cooking Oil,BFC,kebab,"74, Craven Park Road, NW10 7, London",NW10 7,,,51.5393466,-0.2514032,OpenStreetMap,False,,
HIGH,Cooking Oil,BFC,kebab,"74, Craven Park Road, NW10 9, London",NW10 9,,,51.5393466,-0.2514032,OpenStreetMap,False,,
HIGH,Cooking Oil,Baghdad,kebab,"339, Kilburn High Road, NW6 7, London",NW6 7,,,51.5449023,-0.2016915,OpenStreetMap,False,,
HIGH,Cooking Oil,Barril Pizzeria,pizza,"212, High Street Harlesden, NW10 0, London",NW10 0,,,51.5338647,-0.2418044,OpenStreetMap,False,,
HIGH,Cooking Oil,Barril Pizzeria,pizza,"212, High Street Harlesden, NW10 4, London",NW10 4,,,51.5338647,-0.2418044,OpenStreetMap,False,,
HIGH,Cooking Oil,Barril Pizzeria,pizza,"212, High Street Harlesden, NW10 6, London",NW10 6,,,51.5338647,-0.2418044,OpenStreetMap,False,,
HIGH,Cooking Oil,Barril Pizzeria,pizza,"212, High Street Harlesden, NW10 7, London",NW10 7,,,51.5338647,-0.2418044,OpenStreetMap,False,,
HIGH,Cooking Oil,Barril Pizzeria,pizza,"212, High Street Harlesden, NW10 9, London",NW10 9,,,51.5338647,-0.2418044,OpenStreetMap,False,,
HIGH,Cooking Oil,Beer + Burger,burger,"88, Walm Lane, NW2 6, London",NW2 6,+44 20 3019 7575,https://www.beerandburgerstore.com/,51.5486848,-0.2212645,OpenStreetMap,False,,
HIGH,Cooking Oil,Beer + Burger,burger,"88, Walm Lane, NW2 8, London",NW2 8,+44 20 3019 7575,https://www.beerandburgerstore.com/,51.5486848,-0.2212645,OpenStreetMap,False,,
HIGH,Cooking Oil,Beirut Market,fast_food,"83, Willesden Lane, NW6 0, London",NW6 0,,,51.5405641,-0.2032641,OpenStreetMap,False,,
HIGH,Cooking Oil,Beirut Market,fast_food,"83, Willesden Lane, NW6 1, London",NW6 1,,,51.5405641,-0.2032641,OpenStreetMap,False,,
