Priority,Lead Type,Business Name,Cuisine Type,Address,Postcode,Phone,Website,Latitude,Longitude,Source,Contacted,Contact_Date,Contact_Notes
HIGH,Cooking Oil,"""No Name""",burger;pizza;chicken;kebab;meze;fish,"98, Anerley Road, SE19 0, London",SE19 0,,,51.4163395,-0.0729551,OpenStreetMap,False,,
HIGH,Cooking Oil,"""No Name""",burger;pizza;chicken;kebab;meze;fish,"98, Anerley Road, SE19 1, London",SE19 1,,,51.4163395,-0.0729551,OpenStreetMap,False,,
HIGH,Cooking Oil,"""No Name""",burger;pizza;chicken;kebab;meze;fish,"98, Anerley Road, SE19 2, London",SE19 2,,,51.4163395,-0.0729551,OpenStreetMap,False,,
HIGH,Cooking Oil,"""No Name""",burger;pizza;chicken;kebab;meze;fish,"98, Anerley Road, SE19 3, London",SE19 3,,,51.4163395,-0.0729551,OpenStreetMap,False,,
HIGH,Cooking Oil,"""No Name""",burger;pizza;chicken;kebab;meze;fish,"98, Anerley Road, SE19 4, London",SE19 4,,,51.4163395,-0.0729551,OpenStreetMap,False,,
HIGH,Cooking Oil,"""No Name""",burger;pizza;chicken;kebab;meze;fish,"98, Anerley Road, SE19 5, London",SE19 5,,,51.4163395,-0.0729551,OpenStreetMap,False,,
HIGH,Cooking Oil,"""No Name""",burger;pizza;chicken;kebab;meze;fish,"98, Anerley Road, SE19 6, London",SE19 6,,,51.4163395,-0.0729551,OpenStreetMap,False,,
HIGH,Cooking Oil,"""No Name""",burger;pizza;chicken;kebab;meze;fish,"98, Anerley Road, SE19 7, London",SE19 7,,,51.4163395,-0.0729551,OpenStreetMap,False,,
HIGH,Cooking Oil,"""No Name""",burger;pizza;chicken;kebab;meze;fish,"98, Anerley Road, SE19 8, London",SE19 8,,,51.4163395,-0.0729551,OpenStreetMap,False,,
HIGH,Cooking Oil,"""No Name""",burger;pizza;chicken;kebab;meze;fish,"98, Anerley Road, SE19 9, London",SE19 9,,,51.4163395,-0.0729551,OpenStreetMap,False,,
HIGH,Cooking Oil,"""No Name""",burger;pizza;chicken;kebab;meze;fish,"98, Anerley Road, SE20 0, London",SE20 0,,,51.4163395,-0.0729551,OpenStreetMap,False,,
HIGH,Cooking Oil,"""No Name""",burger;pizza;chicken;kebab;meze;fish,"98, Anerley Road, SE20 1, London",SE20 1,,,51.4163395,-0.0729551,OpenStreetMap,False,,
HIGH,Cooking Oil,"""No Name""",burger;pizza;chicken;kebab;meze;fish,"98, Anerley Road, SE20 7, London",SE20 7,,,51.4163395,-0.0729551,OpenStreetMap,False,,
HIGH,Cooking Oil,"""No Name""",burger;pizza;chicken;kebab;meze;fish,"98, Anerley Road, SE20 8, London",SE20 8,,,51.4163395,-0.0729551,OpenStreetMap,False,,
HIGH,Cooking Oil,Amigos Burguesa & Shakes,burger,"55, High Street, BR5 0, London",BR5 0,,,51.3804533,0.1038613,OpenStreetMap,False,,
HIGH,Cooking Oil,Amigos Burguesa & Shakes,burger,"55, High Street, BR5 1, London",BR5 1,,,51.3804533,0.1038613,OpenStreetMap,False,,
HIGH,Cooking Oil,Amigos Burguesa & Shakes,burger,"55, High Street, BR5 2, London",BR5 2,,,51.3804533,0.1038613,OpenStreetMap,False,,
HIGH,Cooking Oil,Amigos Burguesa & Shakes,burger,"55, High Street, BR5 3, London",BR5 3,,,51.3804533,0.1038613,OpenStreetMap,False,,
HIGH,Cooking Oil,Amigos Burguesa & Shakes,burger,"55, High Street, BR5 4, London",BR5 4,,,51.3804533,0.1038613,OpenStreetMap,False,,
HIGH,Cooking Oil,Amigos Burguesa & Shakes,burger,"55, High Street, BR5 5, London",BR5 5,,,51.3804533,0.1038613,OpenStreetMap,False,,
HIGH,Cooking Oil,Amigos Burguesa & Shakes,burger,"55, High Street, BR5 6, London",BR5 6,,,51.3804533,0.1038613,OpenStreetMap,False,,
HIGH,Cooking Oil,Amigos Burguesa & Shakes,burger,"55, High Street, BR5 7, London",BR5 7,,,51.3804533,0.1038613,OpenStreetMap,False,,
HIGH,Cooking Oil,Amigos Burguesa & Shakes,burger,"55, High Street, BR5 8, London",BR5 8,,,51.3804533,0.1038613,OpenStreetMap,False,,
HIGH,Cooking Oil,Amigos Burguesa & Shakes,burger,"55, High Street, BR5 9, London",BR5 9,,,51.3804533,0.1038613,OpenStreetMap,False,,
HIGH,Cooking Oil,Amigos Burguesa & Shakes,burger,"55, High Street, BR6 0, London",BR6 0,,,51.3804533,0.1038613,OpenStreetMap,False,,
HIGH,Cooking Oil,Amigos Burguesa & Shakes,burger,"55, High Street, BR6 1, London",BR6 1,,,51.3804533,0.1038613,OpenStreetMap,False,,
HIGH,Cooking Oil,Amigos Burguesa & Shakes,burger,"55, High Street, BR6 2, London",BR6 2,,,51.3804533,0.1038613,OpenStreetMap,False,,
HIGH,Cooking Oil,Amigos Burguesa & Shakes,burger,"55, High Street, BR6 3, London",BR6 3,,,51.3804533,0.1038613,OpenStreetMap,False,,
HIGH,Cooking Oil,Amigos Burguesa & Shakes,burger,"55, High Street, BR6 4, London",BR6 4,,,51.3804533,0.1038613,OpenStreetMap,False,,
HIGH,Cooking Oil,Amigos Burguesa & Shakes,burger,"55, High Street, BR6 5, London",BR6 5,,,51.3804533,0.1038613,OpenStreetMap,False,,
HIGH,Cooking Oil,Amigos Burguesa & Shakes,burger,"55, High Street, BR6 6, London",BR6 6,,,51.3804533,0.1038613,OpenStreetMap,False,,
HIGH,Cooking Oil,Amigos Burguesa & Shakes,burger,"55, High Street, BR6 8, London",BR6 8,,,51.3804533,0.1038613,OpenStreetMap,False,,
HIGH,Cooking Oil,Amigos Burguesa & Shakes,burger,"55, High Street, BR6 9, London",BR6 9,,,51.3804533,0.1038613,OpenStreetMap,False,,
HIGH,Cooking Oil,Anerley Chippy,fish_and_chips,"117, Anerley Road, SE19 7, London",SE19 7,,,51.4125059,-0.0672824,OpenStreetMap,False,,
HIGH,Cooking Oil,Anerley Chippy,fish_and_chips,"117, Anerley Road, SE20 0, London",SE20 0,,,51.4125059,-0.0672824,OpenStreetMap,False,,
HIGH,Cooking Oil,Anerley Chippy,fish_and_chips,"117, Anerley Road, SE20 1, London",SE20 1,,,51.4125059,-0.0672824,OpenStreetMap,False,,
HIGH,Cooking Oil,Anerley Chippy,fish_and_chips,"117, Anerley Road, SE20 2, London",SE20 2,,,51.4125059,-0.0672824,OpenStreetMap,False,,
HIGH,Cooking Oil,Anerley Chippy,fish_and_chips,"117, Anerley Road, SE20 6, London",SE20 6,,,51.4125059,-0.0672824,OpenStreetMap,False,,
HIGH,Cooking Oil,Anerley Chippy,fish_and_chips,"117, Anerley Road, SE20 7, London",SE20 7,,,51.4125059,-0.0672824,OpenStreetMap,False,,
HIGH,Cooking Oil,Anerley Chippy,fish_and_chips,"117, Anerley Road, SE20 8, London",SE20 8,,,51.4125059,-0.0672824,OpenStreetMap,False,,
HIGH,Cooking Oil,Anerley Chippy,fish_and_chips,"117, Anerley Road, SE20 9, London",SE20 9,,,51.4125059,-0.0672824,OpenStreetMap,False,,
HIGH,Cooking Oil,Auntie Anne's,pretzel,"High Street, BR1 0, London",BR1 0,,,51.4042241,0.0166316,OpenStreetMap,False,,
HIGH,Cooking Oil,Auntie Anne's,pretzel,"High Street, BR1 1, London",BR1 1,,,51.4042241,0.0166316,OpenStreetMap,False,,
HIGH,Cooking Oil,Auntie Anne's,pretzel,"High Street, BR1 2, London",BR1 2,,,51.4042241,0.0166316,OpenStreetMap,False,,
HIGH,Cooking Oil,Auntie Anne's,pretzel,"High Street, BR1 3, London",BR1 3,,,51.4042241,0.0166316,OpenStreetMap,False,,
HIGH,Cooking Oil,Auntie Anne's,pretzel,"High Street, BR1 5, London",BR1 5,,,51.4042241,0.0166316,OpenStreetMap,False,,
HIGH,Cooking Oil,Auntie Anne's,pretzel,"High Street, BR1 6, London",BR1 6,,,51.4042241,0.0166316,OpenStreetMap,False,,
HIGH,Cooking Oil,Auntie Anne's,pretzel,"High Street, BR1 7, London",BR1 7,,,51.4042241,0.0166316,OpenStreetMap,False,,
HIGH,Cooking Oil,Big Portion,kebab,"79, Burnt Ash Lane, BR1 8, London",BR1 8,,,51.4201837,0.0192904,OpenStreetMap,False,,
HIGH,Cooking Oil,Big Portion,kebab,"79, Burnt Ash Lane, BR1 9, London",BR1 9,,,51.4201837,0.0192904,OpenStreetMap,False,,
HIGH,Cooking Oil,Blue Planet Fish & Chips,fish_and_chips,"4, Eden Park Avenue, BR3 0, London",BR3 0,+44 20 8650 1785,,51.3989223,-0.0406964,OpenStreetMap,False,,
HIGH,Cooking Oil,Blue Planet Fish & Chips,fish_and_chips,"4, Eden Park Avenue, BR3 1, London",BR3 1,+44 20 8650 1785,,51.3989223,-0.0406964,OpenStreetMap,False,,
HIGH,Cooking Oil,Blue Planet Fish & Chips,fish_and_chips,"4, Eden Park Avenue, BR3 2, London",BR3 2,+44 20 8650 1785,,51.3989223,-0.0406964,OpenStreetMap,False,,
HIGH,Cooking Oil,Blue Planet Fish & Chips,fish_and_chips,"4, Eden Park Avenue, BR3 3, London",BR3 3,+44 20 8650 1785,,51.3989223,-0.0406964,OpenStreetMap,False,,
HIGH,Cooking Oil,Blue Planet Fish & Chips,fish_and_chips,"4, Eden Park Avenue, BR3 4, London",BR3 4,+44 20 8650 1785,,51.3989223,-0.0406964,OpenStreetMap,False,,
HIGH,Cooking Oil,Blue Planet Fish & Chips,fish_and_chips,"4, Eden Park Avenue, BR3 5, London",BR3 5,+44 20 8650 1785,,51.3989223,-0.0406964,OpenStreetMap,False,,
HIGH,Cooking Oil,Blue Planet Fish & Chips,fish_and_chips,"4, Eden Park Avenue, BR3 6, London",BR3 6,+44 20 8650 1785,,51.3989223,-0.0406964,OpenStreetMap,False,,
HIGH,Cooking Oil,Blue Planet Fish & Chips,fish_and_chips,"4, Eden Park Avenue, BR3 7, London",BR3 7,+44 20 8650 1785,,51.3989223,-0.0406964,OpenStreetMap,False,,
HIGH,Cooking Oil,Blue Planet Fish & Chips,fish_and_chips,"4, Eden Park Avenue, BR3 8, London",BR3 8,+44 20 8650 1785,,51.3989223,-0.0406964,OpenStreetMap,False,,
HIGH,Cooking Oil,Blue Planet Fish & Chips,fish_and_chips,"4, Eden Park Avenue, BR3 9, London",BR3 9,+44 20 8650 1785,,51.3989223,-0.0406964,OpenStreetMap,False,,
HIGH,Cooking Oil,Blue Sea Fish Bar,fish_and_chips,"81, Elmers End Road, SE20 2, London",SE20 2,,,51.4057807,-0.0567986,OpenStreetMap,False,,
HIGH,Cooking Oil,Blue Sea Fish Bar,fish_and_chips,"81, Elmers End Road, SE20 3, London",SE20 3,,,51.4057807,-0.0567986,OpenStreetMap,False,,
HIGH,Cooking Oil,Blue Sea Fish Bar,fish_and_chips,"81, Elmers End Road, SE20 6, London",SE20 6,,,51.4057807,-0.0567986,OpenStreetMap,False,,
HIGH,Cooking Oil,Blue Sea Fish Bar,fish_and_chips,"81, Elmers End Road, SE20 9, London",SE20 9,,,51.4057807,-0.0567986,OpenStreetMap,False,,
HIGH,Cooking Oil,Boost Juice Bars,juice,"High Street, BR1 0, London",BR1 0,,,51.4038931,0.0167369,OpenStreetMap,False,,
