Priority,Lead Type,Business Name,Cuisine Type,Address,Postcode,Phone,Website,Latitude,Longitude,Source,Contacted,Contact_Date,Contact_Notes
HIGH,Cooking Oil,101 Cafeteria,coffee_shop;pizza;sandwich,"101, Charing Cross Road, WC1 0, London",WC1 0,,,51.5139402,-0.1296801,OpenStreetMap,False,,
HIGH,Cooking Oil,101 Cafeteria,coffee_shop;pizza;sandwich,"101, Charing Cross Road, WC1 1, London",WC1 1,,,51.5139402,-0.1296801,OpenStreetMap,False,,
HIGH,Cooking Oil,101 Cafeteria,coffee_shop;pizza;sandwich,"101, Charing Cross Road, WC1 2, London",WC1 2,,,51.5139402,-0.1296801,OpenStreetMap,False,,
HIGH,Cooking Oil,101 Cafeteria,coffee_shop;pizza;sandwich,"101, Charing Cross Road, WC1 3, London",WC1 3,,,51.5139402,-0.1296801,OpenStreetMap,False,,
HIGH,Cooking Oil,101 Cafeteria,coffee_shop;pizza;sandwich,"101, Charing Cross Road, WC1 4, London",WC1 4,,,51.5139402,-0.1296801,OpenStreetMap,False,,
HIGH,Cooking Oil,101 Cafeteria,coffee_shop;pizza;sandwich,"101, Charing Cross Road, WC1 5, London",WC1 5,,,51.5139402,-0.1296801,OpenStreetMap,False,,
HIGH,Cooking Oil,101 Cafeteria,coffee_shop;pizza;sandwich,"101, Charing Cross Road, WC1 6, London",WC1 6,,,51.5139402,-0.1296801,OpenStreetMap,False,,
HIGH,Cooking Oil,101 Cafeteria,coffee_shop;pizza;sandwich,"101, Charing Cross Road, WC1 7, London",WC1 7,,,51.5139402,-0.1296801,OpenStreetMap,False,,
HIGH,Cooking Oil,101 Cafeteria,coffee_shop;pizza;sandwich,"101, Charing Cross Road, WC1 8, London",WC1 8,,,51.5139402,-0.1296801,OpenStreetMap,False,,
HIGH,Cooking Oil,101 Cafeteria,coffee_shop;pizza;sandwich,"101, Charing Cross Road, WC1 9, London",WC1 9,,,51.5139402,-0.1296801,OpenStreetMap,False,,
HIGH,Cooking Oil,Abla,kebab,"NW1 2, London",NW1 2,,,51.5200077,-0.14246,OpenStreetMap,False,,
HIGH,Cooking Oil,Aguamiel,mexican,"24, Wellington Street, WC1 0, London",WC1 0,,,51.5120827,-0.1201098,OpenStreetMap,False,,
HIGH,Cooking Oil,Aguamiel,mexican,"24, Wellington Street, WC1 1, London",WC1 1,,,51.5120827,-0.1201098,OpenStreetMap,False,,
HIGH,Cooking Oil,Aguamiel,mexican,"24, Wellington Street, WC1 2, London",WC1 2,,,51.5120827,-0.1201098,OpenStreetMap,False,,
HIGH,Cooking Oil,Aguamiel,mexican,"24, Wellington Street, WC1 3, London",WC1 3,,,51.5120827,-0.1201098,OpenStreetMap,False,,
HIGH,Cooking Oil,Aguamiel,mexican,"24, Wellington Street, WC1 4, London",WC1 4,,,51.5120827,-0.1201098,OpenStreetMap,False,,
HIGH,Cooking Oil,Aguamiel,mexican,"24, Wellington Street, WC1 5, London",WC1 5,,,51.5120827,-0.1201098,OpenStreetMap,False,,
HIGH,Cooking Oil,Aguamiel,mexican,"24, Wellington Street, WC1 6, London",WC1 6,,,51.5120827,-0.1201098,OpenStreetMap,False,,
HIGH,Cooking Oil,Aguamiel,mexican,"24, Wellington Street, WC1 7, London",WC1 7,,,51.5120827,-0.1201098,OpenStreetMap,False,,
HIGH,Cooking Oil,Aguamiel,mexican,"24, Wellington Street, WC1 8, London",WC1 8,,,51.5120827,-0.1201098,OpenStreetMap,False,,
HIGH,Cooking Oil,Aguamiel,mexican,"24, Wellington Street, WC1 9, London",WC1 9,,,51.5120827,-0.1201098,OpenStreetMap,False,,
HIGH,Cooking Oil,Antica Pizza,italian,"NW3 4, London",NW3 4,,,51.5574039,-0.1781113,OpenStreetMap,False,,
HIGH,Cooking Oil,Artisserie,sandwich,"WC1 0, London",WC1 0,,,51.5229669,-0.1143235,OpenStreetMap,False,,
HIGH,Cooking Oil,Artisserie,sandwich,"WC1 1, London",WC1 1,,,51.5229669,-0.1143235,OpenStreetMap,False,,
HIGH,Cooking Oil,Artisserie,sandwich,"WC1 2, London",WC1 2,,,51.5229669,-0.1143235,OpenStreetMap,False,,
HIGH,Cooking Oil,Artisserie,sandwich,"WC1 3, London",WC1 3,,,51.5229669,-0.1143235,OpenStreetMap,False,,
HIGH,Cooking Oil,Artisserie,sandwich,"WC1 4, London",WC1 4,,,51.5229669,-0.1143235,OpenStreetMap,False,,
HIGH,Cooking Oil,Artisserie,sandwich,"WC1 5, London",WC1 5,,,51.5229669,-0.1143235,OpenStreetMap,False,,
HIGH,Cooking Oil,Artisserie,sandwich,"WC1 6, London",WC1 6,,,51.5229669,-0.1143235,OpenStreetMap,False,,
HIGH,Cooking Oil,Artisserie,sandwich,"WC1 7, London",WC1 7,,,51.5229669,-0.1143235,OpenStreetMap,False,,
HIGH,Cooking Oil,Artisserie,sandwich,"WC1 8, London",WC1 8,,,51.5229669,-0.1143235,OpenStreetMap,False,,
HIGH,Cooking Oil,Artisserie,sandwich,"WC1 9, London",WC1 9,,,51.5229669,-0.1143235,OpenStreetMap,False,,
HIGH,Cooking Oil,B Bagel,sandwich,"94, Tottenham Court Road, NW1 2, London",NW1 2,,,51.5220275,-0.1360633,OpenStreetMap,False,,
HIGH,Cooking Oil,B Bagel,sandwich,"94, Tottenham Court Road, NW1 7, London",NW1 7,,,51.5220275,-0.1360633,OpenStreetMap,False,,
HIGH,Cooking Oil,B Bagel,sandwich,"94, Tottenham Court Road, NW1 8, London",NW1 8,,,51.5220275,-0.1360633,OpenStreetMap,False,,
HIGH,Cooking Oil,B Bagel,sandwich,"94, Tottenham Court Road, NW1 9, London",NW1 9,,,51.5220275,-0.1360633,OpenStreetMap,False,,
HIGH,Cooking Oil,BUK,burger,"8, Ferdinand Street, NW1 5, London",NW1 5,+44 20 7482 0438,https://www.bukburger.com/,51.5432879,-0.148877,OpenStreetMap,False,,
HIGH,Cooking Oil,Bagel Factory,bagel,"78, Long Acre, WC1 0, London",WC1 0,,,51.5145808,-0.1222082,OpenStreetMap,False,,
HIGH,Cooking Oil,Bagel Factory,bagel,"78, Long Acre, WC1 1, London",WC1 1,,,51.5145808,-0.1222082,OpenStreetMap,False,,
HIGH,Cooking Oil,Bagel Factory,bagel,"78, Long Acre, WC1 2, London",WC1 2,,,51.5145808,-0.1222082,OpenStreetMap,False,,
HIGH,Cooking Oil,Bagel Factory,bagel,"78, Long Acre, WC1 3, London",WC1 3,,,51.5145808,-0.1222082,OpenStreetMap,False,,
HIGH,Cooking Oil,Bagel Factory,bagel,"78, Long Acre, WC1 4, London",WC1 4,,,51.5145808,-0.1222082,OpenStreetMap,False,,
HIGH,Cooking Oil,Bagel Factory,bagel,"78, Long Acre, WC1 5, London",WC1 5,,,51.5145808,-0.1222082,OpenStreetMap,False,,
HIGH,Cooking Oil,Bagel Factory,bagel,"78, Long Acre, WC1 6, London",WC1 6,,,51.5145808,-0.1222082,OpenStreetMap,False,,
HIGH,Cooking Oil,Bagel Factory,bagel,"78, Long Acre, WC1 7, London",WC1 7,,,51.5145808,-0.1222082,OpenStreetMap,False,,
HIGH,Cooking Oil,Bagel Factory,bagel,"78, Long Acre, WC1 8, London",WC1 8,,,51.5145808,-0.1222082,OpenStreetMap,False,,
