Priority,Lead Type,Business Name,Cuisine Type,Address,Postcode,Phone,Website,Latitude,Longitude,Source,Contacted,Contact_Date,Contact_Notes
HIGH,Cooking Oil,"""No Name""",burger;pizza;chicken;kebab;meze;fish,"98, Anerley Road, SE19 4, London",SE19 4,,,51.4163395,-0.0729551,OpenStreetMap,False,,
HIGH,Cooking Oil,"""No Name""",burger;pizza;chicken;kebab;meze;fish,"98, Anerley Road, SE19 9, London",SE19 9,,,51.4163395,-0.0729551,OpenStreetMap,False,,
HIGH,Cooking Oil,Anerley Chippy,fish_and_chips,"117, Anerley Road, SE19 9, London",SE19 9,,,51.4125059,-0.0672824,OpenStreetMap,False,,
HIGH,Cooking Oil,Baxfood Caribbean,caribbean,"1, Whytecliffe Road South, CR8 0, London",CR8 0,,,51.3377917,-0.1152208,OpenStreetMap,False,,
HIGH,Cooking Oil,Baxfood Caribbean,caribbean,"1, Whytecliffe Road South, CR8 1, London",CR8 1,,,51.3377917,-0.1152208,OpenStreetMap,False,,
HIGH,Cooking Oil,Baxfood Caribbean,caribbean,"1, Whytecliffe Road South, CR8 2, London",CR8 2,,,51.3377917,-0.1152208,OpenStreetMap,False,,
HIGH,Cooking Oil,Baxfood Caribbean,caribbean,"1, Whytecliffe Road South, CR8 3, London",CR8 3,,,51.3377917,-0.1152208,OpenStreetMap,False,,
HIGH,Cooking Oil,Baxfood Caribbean,caribbean,"1, Whytecliffe Road South, CR8 4, London",CR8 4,,,51.3377917,-0.1152208,OpenStreetMap,False,,
HIGH,Cooking Oil,Baxfood Caribbean,caribbean,"1, Whytecliffe Road South, CR8 5, London",CR8 5,,,51.3377917,-0.1152208,OpenStreetMap,False,,
HIGH,Cooking Oil,Baxfood Caribbean,caribbean,"1, Whytecliffe Road South, CR8 6, London",CR8 6,,,51.3377917,-0.1152208,OpenStreetMap,False,,
HIGH,Cooking Oil,Baxfood Caribbean,caribbean,"1, Whytecliffe Road South, CR8 7, London",CR8 7,,,51.3377917,-0.1152208,OpenStreetMap,False,,
HIGH,Cooking Oil,Baxfood Caribbean,caribbean,"1, Whytecliffe Road South, CR8 8, London",CR8 8,,,51.3377917,-0.1152208,OpenStreetMap,False,,
HIGH,Cooking Oil,Baxfood Caribbean,caribbean,"1, Whytecliffe Road South, CR8 9, London",CR8 9,,,51.3377917,-0.1152208,OpenStreetMap,False,,
HIGH,Cooking Oil,Best Choices,chinese,"17, Woodville Road, CR0 7, London",CR0 7,,,51.3995041,-0.0978078,OpenStreetMap,False,,
HIGH,Cooking Oil,Best Choices,chinese,"17, Woodville Road, CR7 1, London",CR7 1,,,51.3995041,-0.0978078,OpenStreetMap,False,,
HIGH,Cooking Oil,Best Choices,chinese,"17, Woodville Road, CR7 6, London",CR7 6,,,51.3995041,-0.0978078,OpenStreetMap,False,,
