Priority,Lead Type,Business Name,Cuisine Type,Address,Postcode,Phone,Website,Latitude,Longitude,Source,Contacted,Contact_Date,Contact_Notes
HIGH,Cooking Oil,12th Street,pizza,"Broadway, W5 8, London",W5 8,,,51.5108761,-0.32051,OpenStreetMap,False,,
HIGH,Cooking Oil,12th Street,pizza,"Broadway, W13 1, London",W13 1,,,51.5108761,-0.32051,OpenStreetMap,False,,
HIGH,Cooking Oil,12th Street,pizza,"Broadway, W13 2, London",W13 2,,,51.5108761,-0.32051,OpenStreetMap,False,,
HIGH,Cooking Oil,12th Street,pizza,"Broadway, W13 3, London",W13 3,,,51.5108761,-0.32051,OpenStreetMap,False,,
HIGH,Cooking Oil,12th Street,pizza,"Broadway, W13 4, London",W13 4,,,51.5108761,-0.32051,OpenStreetMap,False,,
HIGH,Cooking Oil,12th Street,pizza,"Broadway, W13 5, London",W13 5,,,51.5108761,-0.32051,OpenStreetMap,False,,
HIGH,Cooking Oil,12th Street,pizza,"Broadway, W13 6, London",W13 6,,,51.5108761,-0.32051,OpenStreetMap,False,,
HIGH,Cooking Oil,12th Street,pizza,"Broadway, W13 7, London",W13 7,,,51.5108761,-0.32051,OpenStreetMap,False,,
HIGH,Cooking Oil,Al Beik,kebab;pizza,"78, High Street, W3 2, London",W3 2,,,51.5068356,-0.2676677,OpenStreetMap,False,,
HIGH,Cooking Oil,Al Beik,kebab;pizza,"78, High Street, W3 3, London",W3 3,,,51.5068356,-0.2676677,OpenStreetMap,False,,
HIGH,Cooking Oil,Ali's Berlin Doner,kebab;turkish,"W5 1, London",W5 1,,,51.5143276,-0.3022348,OpenStreetMap,False,,
HIGH,Cooking Oil,Ali's Berlin Doner,kebab;turkish,"W5 3, London",W5 3,,,51.5143276,-0.3022348,OpenStreetMap,False,,
HIGH,Cooking Oil,Ali's Berlin Doner,kebab;turkish,"W5 4, London",W5 4,,,51.5143276,-0.3022348,OpenStreetMap,False,,
HIGH,Cooking Oil,Ali's Berlin Doner,kebab;turkish,"W5 5, London",W5 5,,,51.5143276,-0.3022348,OpenStreetMap,False,,
HIGH,Cooking Oil,Ali's Berlin Doner,kebab;turkish,"W5 8, London",W5 8,,,51.5143276,-0.3022348,OpenStreetMap,False,,
HIGH,Cooking Oil,Amigos,burger;milkshake,"253, High Street, W3 1, London",W3 1,,,51.5081477,-0.2745677,OpenStreetMap,False,,
HIGH,Cooking Oil,Amigos,burger;milkshake,"253, High Street, W3 3, London",W3 3,,,51.5081477,-0.2745677,OpenStreetMap,False,,
HIGH,Cooking Oil,Amigos,burger;milkshake,"253, High Street, W3 4, London",W3 4,,,51.5081477,-0.2745677,OpenStreetMap,False,,
HIGH,Cooking Oil,Amran Grill and Pizza,restaurant,"125, Uxbridge Road, W5 0, London",W5 0,+44 20 8810 1991,,51.5114498,-0.3151961,OpenStreetMap,False,,
HIGH,Cooking Oil,Amran Grill and Pizza,restaurant,"125, Uxbridge Road, W5 7, London",W5 7,+44 20 8810 1991,,51.5114498,-0.3151961,OpenStreetMap,False,,
HIGH,Cooking Oil,Amran Grill and Pizza,restaurant,"125, Uxbridge Road, W5 8, London",W5 8,+44 20 8810 1991,,51.5114498,-0.3151961,OpenStreetMap,False,,
