Priority,Lead Type,Business Name,Cuisine Type,Address,Postcode,Phone,Website,Latitude,Longitude,Source,Contacted,Contact_Date,Contact_Notes
HIGH,Cooking Oil,Agatha's Fish Bar and KebabHouse,kebab,"63, Station Road, N21 3, London",N21 3,,,51.6335272,-0.1007924,OpenStreetMap,False,,
HIGH,Cooking Oil,Agatha's Fish Bar and KebabHouse,kebab,"63, Station Road, N21 4, London",N21 4,,,51.6335272,-0.1007924,OpenStreetMap,False,,
HIGH,Cooking Oil,Agatha's Fish Bar and KebabHouse,kebab,"63, Station Road, N21 5, London",N21 5,,,51.6335272,-0.1007924,OpenStreetMap,False,,
HIGH,Cooking Oil,Agatha's Fish Bar and KebabHouse,kebab,"63, Station Road, N21 7, London",N21 7,,,51.6335272,-0.1007924,OpenStreetMap,False,,
HIGH,Cooking Oil,Antep Durum,fast_food,"34, Sterling Way, N18 4, London",N18 4,,,51.6144467,-0.0663575,OpenStreetMap,False,,
HIGH,Cooking Oil,Antep Durum,fast_food,"34, Sterling Way, N18 5, London",N18 5,,,51.6144467,-0.0663575,OpenStreetMap,False,,
HIGH,Cooking Oil,Antep Durum,fast_food,"34, Sterling Way, N18 6, London",N18 6,,,51.6144467,-0.0663575,OpenStreetMap,False,,
HIGH,Cooking Oil,Antep Durum,fast_food,"34, Sterling Way, N18 7, London",N18 7,,,51.6144467,-0.0663575,OpenStreetMap,False,,
HIGH,Cooking Oil,Antep Durum,fast_food,"34, Sterling Way, N18 8, London",N18 8,,,51.6144467,-0.0663575,OpenStreetMap,False,,
HIGH,Cooking Oil,Antep Durum,fast_food,"34, Sterling Way, N18 9, London",N18 9,,,51.6144467,-0.0663575,OpenStreetMap,False,,
HIGH,Cooking Oil,Ashfield Cafe,burger;coffee_shop;sandwich;kebab;breakfast;tea,"21, Ashfield Parade, N14 4, London",N14 4,+44 20 8447 9042,,51.6310124,-0.1286304,OpenStreetMap,False,,
HIGH,Cooking Oil,Ashfield Cafe,burger;coffee_shop;sandwich;kebab;breakfast;tea,"21, Ashfield Parade, N14 7, London",N14 7,+44 20 8447 9042,,51.6310124,-0.1286304,OpenStreetMap,False,,
