Priority,Lead Type,Business Name,Cuisine Type,Address,Postcode,Phone,Website,Latitude,Longitude,Source,Contacted,Contact_Date,Contact_Notes
HIGH,Cooking Oil,Ababil Tandoori,indian,"242, Green Lane, SE9 4, London",SE9 4,,,51.43551,0.0629808,OpenStreetMap,False,,
HIGH,Cooking Oil,Ababil Tandoori,indian,"242, Green Lane, SE9 6, London",SE9 6,,,51.43551,0.0629808,OpenStreetMap,False,,
HIGH,Cooking Oil,Alla Salute,italian;pizza,"Deals Gateway, SE10 1, London",SE10 1,+44 20 8691 9516,https://allasalute.co.uk/,51.4731318,-0.0216781,OpenStreetMap,False,,
HIGH,Cooking Oil,Alla Salute,italian;pizza,"Deals Gateway, SE10 7, London",SE10 7,+44 20 8691 9516,https://allasalute.co.uk/,51.4731318,-0.0216781,OpenStreetMap,False,,
HIGH,Cooking Oil,Arawak Caribbean,caribbean;burger;chicken,"288, Court Road, SE9 3, London",SE9 3,,,51.4364424,0.0452186,OpenStreetMap,False,,
HIGH,Cooking Oil,Atlantic BBQ Grill,kebab;fish,"154, Well Hall Road, SE9 0, London",SE9 0,,,51.456363,0.05083,OpenStreetMap,False,,
HIGH,Cooking Oil,Atlantic BBQ Grill,kebab;fish,"154, Well Hall Road, SE9 2, London",SE9 2,,,51.456363,0.05083,OpenStreetMap,False,,
HIGH,Cooking Oil,Atlantic BBQ Grill,kebab;fish,"154, Well Hall Road, SE9 7, London",SE9 7,,,51.456363,0.05083,OpenStreetMap,False,,
HIGH,Cooking Oil,Atlantic BBQ Grill,kebab;fish,"154, Well Hall Road, SE9 8, London",SE9 8,,,51.456363,0.05083,OpenStreetMap,False,,
HIGH,Cooking Oil,Atlantic BBQ Grill,kebab;fish,"154, Well Hall Road, SE9 9, London",SE9 9,,,51.456363,0.05083,OpenStreetMap,False,,
HIGH,Cooking Oil,Bagel Boss,bagel,"66, Hare Street, SE18 4, London",SE18 4,,,51.4937064,0.0636175,OpenStreetMap,False,,
HIGH,Cooking Oil,Bagel Boss,bagel,"66, Hare Street, SE18 7, London",SE18 7,,,51.4937064,0.0636175,OpenStreetMap,False,,
