Priority,Lead Type,Business Name,Cuisine Type,Address,Postcode,Phone,Website,Latitude,Longitude,Source,Contacted,Contact_Date,Contact_Notes
HIGH,Cooking Oil,696 Mangal,kebab,"696, Fulham Road, SW6 1, London",SW6 1,+44 20 7384 4400,,51.4746643,-0.2068123,OpenStreetMap,False,,
HIGH,Cooking Oil,696 Mangal,kebab,"696, Fulham Road, SW6 4, London",SW6 4,+44 20 7384 4400,,51.4746643,-0.2068123,OpenStreetMap,False,,
HIGH,Cooking Oil,696 Mangal,kebab,"696, Fulham Road, SW6 6, London",SW6 6,+44 20 7384 4400,,51.4746643,-0.2068123,OpenStreetMap,False,,
HIGH,Cooking Oil,696 Mangal,kebab,"696, Fulham Road, SW6 7, London",SW6 7,+44 20 7384 4400,,51.4746643,-0.2068123,OpenStreetMap,False,,
HIGH,Cooking Oil,696 Mangal,kebab,"696, Fulham Road, SW6 8, London",SW6 8,+44 20 7384 4400,,51.4746643,-0.2068123,OpenStreetMap,False,,
HIGH,Cooking Oil,696 Mangal,kebab,"696, Fulham Road, SW6 9, London",SW6 9,+44 20 7384 4400,,51.4746643,-0.2068123,OpenStreetMap,False,,
HIGH,Cooking Oil,A.A. Fisheries,fish_and_chips,"110, North End Road, W14 0, London",W14 0,,,51.4889236,-0.2059545,OpenStreetMap,False,,
HIGH,Cooking Oil,A.A. Fisheries,fish_and_chips,"110, North End Road, W14 1, London",W14 1,,,51.4889236,-0.2059545,OpenStreetMap,False,,
HIGH,Cooking Oil,A.A. Fisheries,fish_and_chips,"110, North End Road, W14 2, London",W14 2,,,51.4889236,-0.2059545,OpenStreetMap,False,,
HIGH,Cooking Oil,A.A. Fisheries,fish_and_chips,"110, North End Road, W14 4, London",W14 4,,,51.4889236,-0.2059545,OpenStreetMap,False,,
HIGH,Cooking Oil,A.A. Fisheries,fish_and_chips,"110, North End Road, W14 5, London",W14 5,,,51.4889236,-0.2059545,OpenStreetMap,False,,
