Oil Priority,Business Name,Cuisine Type,Address,Postcode,Phone,Website,Latitude,Longitude,Source,Contacted,Contact_Date,Contact_Notes
HIGH,5 Star Pizza & Chicken,fast_food,"101, N4 8, London",N4 8,,,51.5688716,-0.1115411,OpenStreetMap,False,,
HIGH,5 Star Pizza & Chicken,fast_food,"101, N4 9, London",N4 9,,,51.5688716,-0.1115411,OpenStreetMap,False,,
HIGH,Alby's Pizza,pizza,"2, City North Place, N4 9, London",N4 9,,,51.564865,-0.1077857,OpenStreetMap,False,,
HIGH,Amici Miei2Go,pizza,"7, Fortis Green Road, N2 0, London",N2 0,+44 20 8883 8755,https://amicimiei2go.co.uk,51.5898815,-0.1462625,OpenStreetMap,False,,
HIGH,Amici Miei2Go,pizza,"7, Fortis Green Road, N2 1, London",N2 1,+44 20 8883 8755,https://amicimiei2go.co.uk,51.5898815,-0.1462625,OpenStreetMap,False,,
HIGH,Amici Miei2Go,pizza,"7, Fortis Green Road, N2 2, London",N2 2,+44 20 8883 8755,https://amicimiei2go.co.uk,51.5898815,-0.1462625,OpenStreetMap,False,,
HIGH,Amici Miei2Go,pizza,"7, Fortis Green Road, N2 3, London",N2 3,+44 20 8883 8755,https://amicimiei2go.co.uk,51.5898815,-0.1462625,OpenStreetMap,False,,
HIGH,Amici Miei2Go,pizza,"7, Fortis Green Road, N2 4, London",N2 4,+44 20 8883 8755,https://amicimiei2go.co.uk,51.5898815,-0.1462625,OpenStreetMap,False,,
HIGH,Amici Miei2Go,pizza,"7, Fortis Green Road, N2 5, London",N2 5,+44 20 8883 8755,https://amicimiei2go.co.uk,51.5898815,-0.1462625,OpenStreetMap,False,,
HIGH,Amici Miei2Go,pizza,"7, Fortis Green Road, N2 6, London",N2 6,+44 20 8883 8755,https://amicimiei2go.co.uk,51.5898815,-0.1462625,OpenStreetMap,False,,
HIGH,Amici Miei2Go,pizza,"7, Fortis Green Road, N2 7, London",N2 7,+44 20 8883 8755,https://amicimiei2go.co.uk,51.5898815,-0.1462625,OpenStreetMap,False,,
HIGH,Amici Miei2Go,pizza,"7, Fortis Green Road, N2 9, London",N2 9,+44 20 8883 8755,https://amicimiei2go.co.uk,51.5898815,-0.1462625,OpenStreetMap,False,,
HIGH,Amici Miei2Go,pizza,"7, Fortis Green Road, N10 4, London",N10 4,+44 20 8883 8755,https://amicimiei2go.co.uk,51.5898815,-0.1462625,OpenStreetMap,False,,
HIGH,Amici Miei2Go,pizza,"7, Fortis Green Road, N10 5, London",N10 5,+44 20 8883 8755,https://amicimiei2go.co.uk,51.5898815,-0.1462625,OpenStreetMap,False,,
HIGH,Amici Miei2Go,pizza,"7, Fortis Green Road, N10 6, London",N10 6,+44 20 8883 8755,https://amicimiei2go.co.uk,51.5898815,-0.1462625,OpenStreetMap,False,,
HIGH,Amici Miei2Go,pizza,"7, Fortis Green Road, N10 9, London",N10 9,+44 20 8883 8755,https://amicimiei2go.co.uk,51.5898815,-0.1462625,OpenStreetMap,False,,
HIGH,Antepliler Doner,kebab,"43, Grand Parade, N4 4, London",N4 4,,https://antepliler.com/antepliler-doner,51.579559,-0.0989749,OpenStreetMap,False,,
HIGH,Antepliler Doner,kebab,"43, Grand Parade, N15 1, London",N15 1,,https://antepliler.com/antepliler-doner,51.579559,-0.0989749,OpenStreetMap,False,,
HIGH,Antepliler Doner,kebab,"43, Grand Parade, N15 9, London",N15 9,,https://antepliler.com/antepliler-doner,51.579559,-0.0989749,OpenStreetMap,False,,
HIGH,Avenue 97,pizza,"1, Wellington Terrace, N2 8, London",N2 8,,,51.5903456,-0.1039671,OpenStreetMap,False,,
HIGH,Avenue 97,pizza,"1, Wellington Terrace, N6 2, London",N6 2,,,51.5903456,-0.1039671,OpenStreetMap,False,,
HIGH,Avenue 97,pizza,"1, Wellington Terrace, N8 4, London",N8 4,,,51.5903456,-0.1039671,OpenStreetMap,False,,
HIGH,Avenue 97,pizza,"1, Wellington Terrace, N22 1, London",N22 1,,,51.5903456,-0.1039671,OpenStreetMap,False,,
HIGH,Avenue 97,pizza,"1, Wellington Terrace, N22 2, London",N22 2,,,51.5903456,-0.1039671,OpenStreetMap,False,,
HIGH,Avenue 97,pizza,"1, Wellington Terrace, N22 5, London",N22 5,,,51.5903456,-0.1039671,OpenStreetMap,False,,
HIGH,Avenue 97,pizza,"1, Wellington Terrace, N22 7, London",N22 7,,,51.5903456,-0.1039671,OpenStreetMap,False,,
HIGH,Avenue 97,pizza,"1, Wellington Terrace, N22 9, London",N22 9,,,51.5903456,-0.1039671,OpenStreetMap,False,,
