Spice Priority,Business Name,Cuisine Type,Address,Postcode,Phone,Website,Email,Rating,Price Level,Reviews Count,Latitude,Longitude,Source
HIGH,Ambala Foods,indian,"61, Turnpike Lane, London, N2 8, London",N2 8,,,,,,,51.5894089,-0.1070496,OpenStreetMap
HIGH,Antepliler Doner,kebab,"43, Grand Parade, London, N4 4, London",N4 4,,https://antepliler.com/antepliler-doner,,,,,51.579559,-0.0989749,OpenStreetMap
HIGH,Antepliler Restaurant,turkish,"45-46, Grand Parade, London, N4 4, London",N4 4,,,,,,,51.5793454,-0.0989408,OpenStreetMap
HIGH,Barbers Bazaar,indian,"37, Tottenham Lane, London, N2 8, London",N2 8,+44 2083 414 425,https://barbersbazaar.com/,,,,,51.5849498,-0.1150846,OpenStreetMap
HIGH,Bengal,indian,"153, Tottenham Lane, N4 0, London",N4 0,,,,,,,51.5821531,-0.1194417,OpenStreetMap
HIGH,Biryani House,indian,"69, Turnpike Lane, London, N2 8, London",N2 8,,,,,,,51.5893648,-0.1073547,OpenStreetMap
HIGH,Chaiiwala,indian,"N2 8, Haringey, London",N2 8,,,,,,,51.5940536,-0.1083673,OpenStreetMap
HIGH,Cigkoftem,turkish,"417, Green Lanes, London, N4 4, London",N4 4,+44 20 8347 9203,https://cigkoftem.com,,,,,51.5784727,-0.0991429,OpenStreetMap
HIGH,Crouch End Best Kebab,kebab,"131, Tottenham Lane, N4 0, London",N4 0,,,,,,,51.582553,-0.1184096,OpenStreetMap
HIGH,Diamond Kebab,fast_food,"318, Green Lanes, London, N4 4, London",N4 4,,,,,,,51.5712913,-0.0960579,OpenStreetMap
HIGH,Dinner Box,indian,"N4 0, Haringey, London",N4 0,+44 20 7281 1955,,,,,,51.5714339,-0.118161,OpenStreetMap
HIGH,Diyarbakir,turkish,"52-53, Green Lanes, London, N4 4, London",N4 4,+44 20 8802 5498,,,,,,51.5789531,-0.0988629,OpenStreetMap
HIGH,Diyarbakir,kebab,"69, Grand Parade, London, N4 4, London",N4 4,+44 20 8809 2777,https://diyarbakirrestaurant.co.uk,,,,,51.577881,-0.0986642,OpenStreetMap
HIGH,Doner Daddy,kebab,"N2 8, Haringey, London",N2 8,,,,,,,51.5970586,-0.1101234,OpenStreetMap
HIGH,Ezra's Kitchen,turkish,"N2 8, Haringey, London",N2 8,,,,,,,51.5952125,-0.1092491,OpenStreetMap
HIGH,Galata,turkish,"361, Green Lanes, London, N4 4, London",N4 4,,,,,,,51.5765546,-0.098816,OpenStreetMap
HIGH,Giggling Squid,thai,"107, Muswell Hill Road, London, N2 0, London",N2 0,+44 20 8194 0091,https://www.gigglingsquid.com/restaurant/muswell-hill,,,,,51.5892796,-0.146125,OpenStreetMap
HIGH,Gozleme House,turkish,"465, Green Lanes, London, N4 4, London",N4 4,+44 20 8340 6305,,,,,,51.5799678,-0.0994342,OpenStreetMap
HIGH,Granary Thai Cafe,thai,"169, Stroud Green Road, N4 0, London",N4 0,,,,,,,51.5702682,-0.1145975,OpenStreetMap
HIGH,Gökyüzü,turkish,"26-28, Grand Parade, London, N4 4, London",N4 4,,https://gokyuzurestaurant.co.uk/harringay/,,,,,51.5805637,-0.0991467,OpenStreetMap
