Spice Priority,Business Name,Cuisine Type,Address,Postcode,Phone,Website,Email,Rating,Price Level,Reviews Count,Latitude,Longitude,Source,Contacted,Contact_Date,Contact_Notes
HIGH,Ambala Foods,indian,"61, Turnpike Lane, London, N2 8, London",N2 8,,,,,,,51.5894089,-0.1070496,OpenStreetMap,False,,
HIGH,Antepliler Doner,kebab,"43, Grand Parade, London, N4 4, London",N4 4,,https://antepliler.com/antepliler-doner,,,,,51.579559,-0.0989749,OpenStreetMap,False,,
HIGH,Antepliler Restaurant,turkish,"45-46, Grand Parade, London, N4 4, London",N4 4,,,,,,,51.5793454,-0.0989408,OpenStreetMap,False,,
HIGH,Barbers Bazaar,indian,"37, Tottenham Lane, London, N2 8, London",N2 8,+44 2083 414 425,https://barbersbazaar.com/,,,,,51.5849498,-0.1150846,OpenStreetMap,False,,
HIGH,Bengal,indian,"153, Tottenham Lane, N4 0, London",N4 0,,,,,,,51.5821531,-0.1194417,OpenStreetMap,False,,
HIGH,Biryani House,indian,"69, Turnpike Lane, London, N2 8, London",N2 8,,,,,,,51.5893648,-0.1073547,OpenStreetMap,False,,
HIGH,Chaiiwala,indian,"N2 8, Haringey, London",N2 8,,,,,,,51.5940536,-0.1083673,OpenStreetMap,False,,
HIGH,Cigkoftem,turkish,"417, Green Lanes, London, N4 4, London",N4 4,+44 20 8347 9203,https://cigkoftem.com,,,,,51.5784727,-0.0991429,OpenStreetMap,False,,
HIGH,Crouch End Best Kebab,kebab,"131, Tottenham Lane, N4 0, London",N4 0,,,,,,,51.582553,-0.1184096,OpenStreetMap,False,,
HIGH,Diamond Kebab,fast_food,"318, Green Lanes, London, N4 4, London",N4 4,,,,,,,51.5712913,-0.0960579,OpenStreetMap,False,,
HIGH,Dinner Box,indian,"N4 0, Haringey, London",N4 0,+44 20 7281 1955,,,,,,51.5714339,-0.118161,OpenStreetMap,False,,
HIGH,Diyarbakir,turkish,"52-53, Green Lanes, London, N4 4, London",N4 4,+44 20 8802 5498,,,,,,51.5789531,-0.0988629,OpenStreetMap,False,,
HIGH,Diyarbakir,kebab,"69, Grand Parade, London, N4 4, London",N4 4,+44 20 8809 2777,https://diyarbakirrestaurant.co.uk,,,,,51.577881,-0.0986642,OpenStreetMap,False,,
HIGH,Doner Daddy,kebab,"N2 8, Haringey, London",N2 8,,,,,,,51.5970586,-0.1101234,OpenStreetMap,False,,
HIGH,Ezra's Kitchen,turkish,"N2 8, Haringey, London",N2 8,,,,,,,51.5952125,-0.1092491,OpenStreetMap,False,,
HIGH,Galata,turkish,"361, Green Lanes, London, N4 4, London",N4 4,,,,,,,51.5765546,-0.098816,OpenStreetMap,False,,
HIGH,Giggling Squid,thai,"107, Muswell Hill Road, London, N2 0, London",N2 0,+44 20 8194 0091,https://www.gigglingsquid.com/restaurant/muswell-hill,,,,,51.5892796,-0.146125,OpenStreetMap,False,,
HIGH,Gozleme House,turkish,"465, Green Lanes, London, N4 4, London",N4 4,+44 20 8340 6305,,,,,,51.5799678,-0.0994342,OpenStreetMap,False,,
HIGH,Granary Thai Cafe,thai,"169, Stroud Green Road, N4 0, London",N4 0,,,,,,,51.5702682,-0.1145975,OpenStreetMap,False,,
HIGH,Gökyüzü,turkish,"26-28, Grand Parade, London, N4 4, London",N4 4,,https://gokyuzurestaurant.co.uk/harringay/,,,,,51.5805637,-0.0991467,OpenStreetMap,False,,
HIGH,Hala,turkish,"29-30, Grand Parade, London, N4 4, London",N4 4,+44 20 8802 4883,https://halarestaurant.co.uk,,,,,51.5803647,-0.0991139,OpenStreetMap,False,,
HIGH,Haringey Corbacisi,turkish,"6-7, Green Lanes, London, N4 4, London",N4 4,,,,,,,51.5828587,-0.0995871,OpenStreetMap,False,,
HIGH,Hing Takeaway,chinese,"N2 0, Haringey, London",N2 0,,,,,,,51.5908507,-0.1553298,OpenStreetMap,False,,
HIGH,Indian Rasoi,indian,"Fortis Green, London, N2 0, London",N2 0,+44 20 8883 9093,https://www.indian-rasoi.co.uk,,,,,51.5907922,-0.15579,OpenStreetMap,False,,
HIGH,Jai Krishna,indian,"N4 0, Haringey, London",N4 0,,,,,,,51.5700857,-0.114262,OpenStreetMap,False,,
HIGH,Jashan,indian,"19, Turnpike Lane, London, N2 8, London",N2 8,+44 2083 409 880,https://www.jashan.co.uk/,,,,,51.589722,-0.1052821,OpenStreetMap,False,,
HIGH,King Kebab,kebab,"413, Green Lanes, London, N4 4, London",N4 4,+44 20 8127 6870,,,,,,51.5783826,-0.0991306,OpenStreetMap,False,,
HIGH,Kofteci Metin,turkish,"553, Green Lanes, London, N4 4, London",N4 4,+44 7399 897233,https://koftecimetin.co.uk/,,,,,51.5826365,-0.0999153,OpenStreetMap,False,,
HIGH,Konnichiwa,japanese,"10, High Street, London, N2 8, London",N2 8,,https://www.konnichiwa.uk/,,,,,51.5870919,-0.1211112,OpenStreetMap,False,,
HIGH,Little Dragons,chinese,"Green Lanes, London, N4 4, London",N4 4,,,,,,,51.5822168,-0.0994359,OpenStreetMap,False,,
HIGH,Little Good Earth,chinese,"39, Crouch Hill, N4 0, London",N4 0,+44 20 7263 1177,http://www.littlegoodearth.co.uk,,,,,51.5714054,-0.1181061,OpenStreetMap,False,,
HIGH,Manor Kebab,kebab,"N4 4, Haringey, London",N4 4,,,,,,,51.5710483,-0.0956479,OpenStreetMap,False,,
HIGH,Momo's,japanese,"N2 8, Haringey, London",N2 8,,,,,,,51.5943569,-0.1080193,OpenStreetMap,False,,
HIGH,New Capital Kebab,kebab,"2, Wellington Terrace, London, N2 8, London",N2 8,,,,,,,51.590328,-0.1040197,OpenStreetMap,False,,
HIGH,Oita,japanese,"13-27, Station Road, London, N2 8, London",N2 8,,,,,,,51.5969824,-0.1108074,OpenStreetMap,False,,
HIGH,Pachara Asian Grocery,chinese,"184, Stroud Green Road, London, N4 0, London",N4 0,+44 20 8347 8051,https://pachara.co.uk/,,,,,51.5704016,-0.1142302,OpenStreetMap,False,,
HIGH,Paradise Kitchen,kebab,"15a, Turnpike Lane, London, N2 8, London",N2 8,,,,,,,51.5897645,-0.1051359,OpenStreetMap,False,,
HIGH,Paramount,indian,"N2 8, Haringey, London",N2 8,,,,,,,51.598082,-0.1103695,OpenStreetMap,False,,
HIGH,Praan Sweets,indian,"77-79, Turnpike Lane, London, N2 8, London",N2 8,,,,,,,51.5893196,-0.1077117,OpenStreetMap,False,,
HIGH,Puraan,indian,"10, Turnpike Lane, London, N2 8, London",N2 8,+44 2083 747 612,https://puraan.co.uk/,,,,,51.5901557,-0.1042977,OpenStreetMap,False,,
HIGH,Salim Spice,kebab,"15, Turnpike Lane, London, N2 8, London",N2 8,,,,,,,51.5897942,-0.1050074,OpenStreetMap,False,,
HIGH,Salims Restaurant,kebab,"125, Turnpike Lane, London, N2 8, London",N2 8,,,,,,,51.5889132,-0.109395,OpenStreetMap,False,,
HIGH,Sumak,turkish,"141, Tottenham Lane, London, N4 0, London",N4 0,+44 20 8341 6261,https://sumakrestaurants.com,,,,,51.582402,-0.1187674,OpenStreetMap,False,,
HIGH,Tarshish,turkish,"High Road, London, N2 8, London",N2 8,,,,,,,51.5912806,-0.1038844,OpenStreetMap,False,,
HIGH,Terry's Kebab House,kebab,"86, High Street, London, N2 8, London",N2 8,+44 2083 414 119,,,,,,51.5876135,-0.1171447,OpenStreetMap,False,,
HIGH,The Thali Thal,indian,"111, Turnpike Lane, London, N2 8, London",N2 8,,,,,,,51.5890395,-0.1088986,OpenStreetMap,False,,
HIGH,The Tiffin Tin,indian,"28, High Street, N2 8, London",N2 8,,,,,,,51.5873059,-0.1201819,OpenStreetMap,False,,
HIGH,The Turkish Kebab,turkish,"N2 8, Haringey, London",N2 8,,,,,,,51.5907599,-0.1032235,OpenStreetMap,False,,
HIGH,Umut 2000,turkish,"551, Green Lanes, London, N4 4, London",N4 4,+44 20 8340 9691,,,,,,51.582584,-0.0999076,OpenStreetMap,False,,
HIGH,Viet Ngon,vietnamese,"145, Stroud Green Road, N4 0, London",N4 0,+44 20 7281 5095,,,,,,51.5697731,-0.1135191,OpenStreetMap,False,,
HIGH,Weston Park Cafe,french;moroccan;pastry,"85, Weston Park, London, N4 0, London",N4 0,,,,,,,51.5804472,-0.1156454,OpenStreetMap,False,,
HIGH,Yak & Yeti,indian,"143, Stroud Green Road, N4 0, London",N4 0,,https://finsburypark.yakandyeti.co.uk/,,,,,51.5697304,-0.1134359,OpenStreetMap,False,,
HIGH,ZappZaa Thai Cafe,thai,"82, High Street, London, N2 8, London",N2 8,+44 2083 410 506,https://www.zappzaa.com,,,,,51.5876101,-0.117296,OpenStreetMap,False,,
HIGH,Zeera Indian Takeaway,indian,"123, Turnpike Lane, London, N2 8, London",N2 8,,,,,,,51.5889317,-0.1093222,OpenStreetMap,False,,
HIGH,bund,asian,"Fortis Green, London, N2 0, London",N2 0,+44 20 8365 2643,https://bundrestaurant.co.uk,,,,,51.5908797,-0.1537565,OpenStreetMap,False,,
MEDIUM,1to3,coffee_shop,"1-3, Tottenham Lane, London, N2 8, London",N2 8,,,,,,,51.5865841,-0.1120948,OpenStreetMap,False,,
MEDIUM,Abraco,cafe,"60-61, Grand Parade, London, N4 4, London",N4 4,,https://www.abracocafe.co.uk/,,,,,51.578544,-0.0987808,OpenStreetMap,False,,
MEDIUM,All Star Food & Wine,convenience,"459, Green Lanes, London, N4 4, London",N4 4,+44 20 8374 3940,,,,,,51.5798022,-0.0994026,OpenStreetMap,False,,
MEDIUM,Amici Miei2Go,pizza,"7, Fortis Green Road, London, N2 0, London",N2 0,+44 20 8883 8755,https://amicimiei2go.co.uk,,,,,51.5898815,-0.1462625,OpenStreetMap,False,,
MEDIUM,Asi Bistro,restaurant,"71, Grand Parade, London, N4 4, London",N4 4,+44 20 8809 2777,https://asibistrocafe.co.uk/,,,,,51.5777775,-0.0986475,OpenStreetMap,False,,
MEDIUM,Avenue 97,pizza,"1, Wellington Terrace, London, N2 8, London",N2 8,,,,,,,51.5903456,-0.1039671,OpenStreetMap,False,,
MEDIUM,Awesome Chips,chips,"N2 8, Haringey, London",N2 8,,,,,,,51.594681,-0.109037,OpenStreetMap,False,,
MEDIUM,Best 2,fast_food,"N4 0, Haringey, London",N4 0,,,,,,,51.5825927,-0.1182826,OpenStreetMap,False,,
MEDIUM,Bianca Pizzeria,italian;pizza,"419, Green Lanes, London, N4 4, London",N4 4,+44 20 8340 5296,,,,,,51.5785222,-0.0991526,OpenStreetMap,False,,
MEDIUM,Brabant Food Express,convenience,"N2 8, Haringey, London",N2 8,,,,,,,51.5973463,-0.1091514,OpenStreetMap,False,,
MEDIUM,Brasserie Transylvania,restaurant,"353, Green Lanes, London, N4 4, London",N4 4,,,,,,,51.5761853,-0.0987283,OpenStreetMap,False,,
MEDIUM,Brekky & Brunch,cafe,"157, Tottenham Lane, N4 0, London",N4 0,,,,,,,51.5820973,-0.119602,OpenStreetMap,False,,
MEDIUM,Brown Eagle,caribbean,"N2 8, Haringey, London",N2 8,,,,,,,51.5986555,-0.110668,OpenStreetMap,False,,
MEDIUM,But First Coffee,coffee_shop,"43, Quernmore Road, London, N4 0, London",N4 0,,,,,,,51.5775516,-0.10623,OpenStreetMap,False,,
MEDIUM,Cafe Corso,sandwich,"1, Ringslade Road, London, N2 8, London",N2 8,,,,,,,51.5975298,-0.1136692,OpenStreetMap,False,,
MEDIUM,Caffeinate,cafe,"140, Crouch Hill, N4 0, London",N4 0,,,,,,,51.5779843,-0.1235183,OpenStreetMap,False,,
MEDIUM,Capital Restaurants,restaurant,"N2 8, Haringey, London",N2 8,,,,,,,51.5956336,-0.1092311,OpenStreetMap,False,,
MEDIUM,Charlie's,cafe,"N2 8, Haringey, London",N2 8,,,,,,,51.5947473,-0.1091144,OpenStreetMap,False,,
MEDIUM,Chef's Delight,cafe,"High Road, London, N2 8, London",N2 8,,,,,,,51.5909601,-0.1042052,OpenStreetMap,False,,
MEDIUM,Chicken & Pizza,pizza;chicken,"13, High Street, London, N2 8, London",N2 8,,,,,,,51.5877672,-0.1186629,OpenStreetMap,False,,
MEDIUM,Chickenways Peri Peri,chicken,"527C, Green Lanes, London, N4 4, London",N4 4,+44 20 8351 4908,,,,,,51.5819924,-0.0998103,OpenStreetMap,False,,
MEDIUM,Chicos,chicken,"679, Green Lanes, London, N2 8, London",N2 8,,,,,,,51.5903664,-0.1038877,OpenStreetMap,False,,
