Priority,Lead Type,Business Name,Cuisine Type,Address,Postcode,Phone,Website,Latitude,Longitude,Source,Contacted,Contact_Date,Contact_Notes
HIGH,Cooking Oil,100 High St,burger,"High Street, TW13 0, London",TW13 0,,,51.4430475,-0.412568,OpenStreetMap,False,,
HIGH,Cooking Oil,100 High St,burger,"High Street, TW13 1, London",TW13 1,,,51.4430475,-0.412568,OpenStreetMap,False,,
HIGH,Cooking Oil,100 High St,burger,"High Street, TW13 3, London",TW13 3,,,51.4430475,-0.412568,OpenStreetMap,False,,
HIGH,Cooking Oil,100 High St,burger,"High Street, TW13 4, London",TW13 4,,,51.4430475,-0.412568,OpenStreetMap,False,,
HIGH,Cooking Oil,100 High St,burger,"High Street, TW13 5, London",TW13 5,,,51.4430475,-0.412568,OpenStreetMap,False,,
HIGH,Cooking Oil,100 High St,burger,"High Street, TW13 6, London",TW13 6,,,51.4430475,-0.412568,OpenStreetMap,False,,
HIGH,Cooking Oil,100 High St,burger,"High Street, TW13 7, London",TW13 7,,,51.4430475,-0.412568,OpenStreetMap,False,,
HIGH,Cooking Oil,100 High St,burger,"High Street, TW13 8, London",TW13 8,,,51.4430475,-0.412568,OpenStreetMap,False,,
HIGH,Cooking Oil,100 High St,burger,"High Street, TW13 9, London",TW13 9,,,51.4430475,-0.412568,OpenStreetMap,False,,
HIGH,Cooking Oil,AAQA Charcoal Grill,grill,"TW3 0, London",TW3 0,,,51.466713,-0.3649514,OpenStreetMap,False,,
HIGH,Cooking Oil,AAQA Charcoal Grill,grill,"TW3 1, London",TW3 1,,,51.466713,-0.3649514,OpenStreetMap,False,,
HIGH,Cooking Oil,AAQA Charcoal Grill,grill,"TW3 2, London",TW3 2,,,51.466713,-0.3649514,OpenStreetMap,False,,
HIGH,Cooking Oil,AAQA Charcoal Grill,grill,"TW3 3, London",TW3 3,,,51.466713,-0.3649514,OpenStreetMap,False,,
HIGH,Cooking Oil,AAQA Charcoal Grill,grill,"TW3 4, London",TW3 4,,,51.466713,-0.3649514,OpenStreetMap,False,,
HIGH,Cooking Oil,AAQA Charcoal Grill,grill,"TW3 5, London",TW3 5,,,51.466713,-0.3649514,OpenStreetMap,False,,
HIGH,Cooking Oil,AAQA Charcoal Grill,grill,"TW3 6, London",TW3 6,,,51.466713,-0.3649514,OpenStreetMap,False,,
HIGH,Cooking Oil,AAQA Charcoal Grill,grill,"TW3 7, London",TW3 7,,,51.466713,-0.3649514,OpenStreetMap,False,,
HIGH,Cooking Oil,AAQA Charcoal Grill,grill,"TW3 8, London",TW3 8,,,51.466713,-0.3649514,OpenStreetMap,False,,
HIGH,Cooking Oil,AAQA Charcoal Grill,grill,"TW3 9, London",TW3 9,,,51.466713,-0.3649514,OpenStreetMap,False,,
HIGH,Cooking Oil,Awesome Chicken,chicken,"UB3 0, London",UB3 0,,,51.4654849,-0.3777871,OpenStreetMap,False,,
HIGH,Cooking Oil,Awesome Chicken,chicken,"UB3 1, London",UB3 1,,,51.4654849,-0.3777871,OpenStreetMap,False,,
HIGH,Cooking Oil,Awesome Chicken,chicken,"UB3 2, London",UB3 2,,,51.4654849,-0.3777871,OpenStreetMap,False,,
HIGH,Cooking Oil,Awesome Chicken,chicken,"UB3 3, London",UB3 3,,,51.4654849,-0.3777871,OpenStreetMap,False,,
HIGH,Cooking Oil,Awesome Chicken,chicken,"UB3 4, London",UB3 4,,,51.4654849,-0.3777871,OpenStreetMap,False,,
HIGH,Cooking Oil,Awesome Chicken,chicken,"UB3 5, London",UB3 5,,,51.4654849,-0.3777871,OpenStreetMap,False,,
HIGH,Cooking Oil,Awesome Chicken,chicken,"UB3 6, London",UB3 6,,,51.4654849,-0.3777871,OpenStreetMap,False,,
HIGH,Cooking Oil,Awesome Chicken,chicken,"UB3 7, London",UB3 7,,,51.4654849,-0.3777871,OpenStreetMap,False,,
HIGH,Cooking Oil,Awesome Chicken,chicken,"UB3 8, London",UB3 8,,,51.4654849,-0.3777871,OpenStreetMap,False,,
HIGH,Cooking Oil,Awesome Chicken,chicken,"UB3 9, London",UB3 9,,,51.4654849,-0.3777871,OpenStreetMap,False,,
HIGH,Cooking Oil,Awesome Chicken,chicken,"UB4 0, London",UB4 0,,,51.4654849,-0.3777871,OpenStreetMap,False,,
HIGH,Cooking Oil,Awesome Chicken,chicken,"UB4 1, London",UB4 1,,,51.4654849,-0.3777871,OpenStreetMap,False,,
HIGH,Cooking Oil,Awesome Chicken,chicken,"UB4 2, London",UB4 2,,,51.4654849,-0.3777871,OpenStreetMap,False,,
HIGH,Cooking Oil,Awesome Chicken,chicken,"UB4 3, London",UB4 3,,,51.4654849,-0.3777871,OpenStreetMap,False,,
HIGH,Cooking Oil,Awesome Chicken,chicken,"UB4 4, London",UB4 4,,,51.4654849,-0.3777871,OpenStreetMap,False,,
HIGH,Cooking Oil,Awesome Chicken,chicken,"UB4 5, London",UB4 5,,,51.4654849,-0.3777871,OpenStreetMap,False,,
HIGH,Cooking Oil,Awesome Chicken,chicken,"UB4 6, London",UB4 6,,,51.4654849,-0.3777871,OpenStreetMap,False,,
HIGH,Cooking Oil,Awesome Chicken,chicken,"UB4 7, London",UB4 7,,,51.4654849,-0.3777871,OpenStreetMap,False,,
HIGH,Cooking Oil,Awesome Chicken,chicken,"UB4 8, London",UB4 8,,,51.4654849,-0.3777871,OpenStreetMap,False,,
HIGH,Cooking Oil,Awesome Chicken,chicken,"UB4 9, London",UB4 9,,,51.4654849,-0.3777871,OpenStreetMap,False,,
HIGH,Cooking Oil,Baba Jan's,fried_chicken,"TW3 0, London",TW3 0,,,51.4697337,-0.3578145,OpenStreetMap,False,,
HIGH,Cooking Oil,Baba Jan's,fried_chicken,"TW3 1, London",TW3 1,,,51.4697337,-0.3578145,OpenStreetMap,False,,
HIGH,Cooking Oil,Baba Jan's,fried_chicken,"TW3 2, London",TW3 2,,,51.4697337,-0.3578145,OpenStreetMap,False,,
HIGH,Cooking Oil,Baba Jan's,fried_chicken,"TW3 3, London",TW3 3,,,51.4697337,-0.3578145,OpenStreetMap,False,,
HIGH,Cooking Oil,Baba Jan's,fried_chicken,"TW3 4, London",TW3 4,,,51.4697337,-0.3578145,OpenStreetMap,False,,
HIGH,Cooking Oil,Baba Jan's,fried_chicken,"TW3 5, London",TW3 5,,,51.4697337,-0.3578145,OpenStreetMap,False,,
HIGH,Cooking Oil,Baba Jan's,fried_chicken,"TW3 6, London",TW3 6,,,51.4697337,-0.3578145,OpenStreetMap,False,,
HIGH,Cooking Oil,Baba Jan's,fried_chicken,"TW3 7, London",TW3 7,,,51.4697337,-0.3578145,OpenStreetMap,False,,
HIGH,Cooking Oil,Baba Jan's,fried_chicken,"TW3 9, London",TW3 9,,,51.4697337,-0.3578145,OpenStreetMap,False,,
HIGH,Cooking Oil,Burger Base,burger,"TW3 0, London",TW3 0,,,51.4691316,-0.361357,OpenStreetMap,False,,
HIGH,Cooking Oil,Burger Base,burger,"TW3 1, London",TW3 1,,,51.4691316,-0.361357,OpenStreetMap,False,,
HIGH,Cooking Oil,Burger Base,burger,"TW3 2, London",TW3 2,,,51.4691316,-0.361357,OpenStreetMap,False,,
HIGH,Cooking Oil,Burger Base,burger,"TW3 3, London",TW3 3,,,51.4691316,-0.361357,OpenStreetMap,False,,
HIGH,Cooking Oil,Burger Base,burger,"TW3 4, London",TW3 4,,,51.4691316,-0.361357,OpenStreetMap,False,,
HIGH,Cooking Oil,Burger Base,burger,"TW3 5, London",TW3 5,,,51.4691316,-0.361357,OpenStreetMap,False,,
HIGH,Cooking Oil,Burger Base,burger,"TW3 6, London",TW3 6,,,51.4691316,-0.361357,OpenStreetMap,False,,
HIGH,Cooking Oil,Burger Base,burger,"TW3 7, London",TW3 7,,,51.4691316,-0.361357,OpenStreetMap,False,,
HIGH,Cooking Oil,Burger Base,burger,"TW3 9, London",TW3 9,,,51.4691316,-0.361357,OpenStreetMap,False,,
HIGH,Cooking Oil,Burger King,burger,"Treaty Shopping Centre, TW3 0, London",TW3 0,+442085702377,https://locations.burgerking.co.uk/hounslow/unit-a35-treaty-shopping-centre,51.4678437,-0.3643638,OpenStreetMap,False,,
HIGH,Cooking Oil,Burger King,burger,"Treaty Shopping Centre, TW3 1, London",TW3 1,+442085702377,https://locations.burgerking.co.uk/hounslow/unit-a35-treaty-shopping-centre,51.4678437,-0.3643638,OpenStreetMap,False,,
HIGH,Cooking Oil,Burger King,burger,"Treaty Shopping Centre, TW3 2, London",TW3 2,+442085702377,https://locations.burgerking.co.uk/hounslow/unit-a35-treaty-shopping-centre,51.4678437,-0.3643638,OpenStreetMap,False,,
HIGH,Cooking Oil,Burger King,burger,"Treaty Shopping Centre, TW3 3, London",TW3 3,+442085702377,https://locations.burgerking.co.uk/hounslow/unit-a35-treaty-shopping-centre,51.4678437,-0.3643638,OpenStreetMap,False,,
HIGH,Cooking Oil,Burger King,burger,"Treaty Shopping Centre, TW3 4, London",TW3 4,+442085702377,https://locations.burgerking.co.uk/hounslow/unit-a35-treaty-shopping-centre,51.4678437,-0.3643638,OpenStreetMap,False,,
HIGH,Cooking Oil,Burger King,burger,"Treaty Shopping Centre, TW3 5, London",TW3 5,+442085702377,https://locations.burgerking.co.uk/hounslow/unit-a35-treaty-shopping-centre,51.4678437,-0.3643638,OpenStreetMap,False,,
HIGH,Cooking Oil,Burger King,burger,"Treaty Shopping Centre, TW3 6, London",TW3 6,+442085702377,https://locations.burgerking.co.uk/hounslow/unit-a35-treaty-shopping-centre,51.4678437,-0.3643638,OpenStreetMap,False,,
HIGH,Cooking Oil,Burger King,burger,"Treaty Shopping Centre, TW3 7, London",TW3 7,+442085702377,https://locations.burgerking.co.uk/hounslow/unit-a35-treaty-shopping-centre,51.4678437,-0.3643638,OpenStreetMap,False,,
HIGH,Cooking Oil,Burger King,burger,"Treaty Shopping Centre, TW3 8, London",TW3 8,+442085702377,https://locations.burgerking.co.uk/hounslow/unit-a35-treaty-shopping-centre,51.4678437,-0.3643638,OpenStreetMap,False,,
HIGH,Cooking Oil,Burger King,burger,"Treaty Shopping Centre, TW3 9, London",TW3 9,+442085702377,https://locations.burgerking.co.uk/hounslow/unit-a35-treaty-shopping-centre,51.4678437,-0.3643638,OpenStreetMap,False,,
HIGH,Cooking Oil,Burger King,burger,"Browells Lane, TW13 0, London",TW13 0,,,51.4432211,-0.4057898,OpenStreetMap,False,,
HIGH,Cooking Oil,Burger King,burger,"Browells Lane, TW13 1, London",TW13 1,,,51.4432211,-0.4057898,OpenStreetMap,False,,
HIGH,Cooking Oil,Burger King,burger,"Browells Lane, TW13 3, London",TW13 3,,,51.4432211,-0.4057898,OpenStreetMap,False,,
HIGH,Cooking Oil,Burger King,burger,"Browells Lane, TW13 4, London",TW13 4,,,51.4432211,-0.4057898,OpenStreetMap,False,,
HIGH,Cooking Oil,Burger King,burger,"Browells Lane, TW13 5, London",TW13 5,,,51.4432211,-0.4057898,OpenStreetMap,False,,
HIGH,Cooking Oil,Burger King,burger,"Browells Lane, TW13 6, London",TW13 6,,,51.4432211,-0.4057898,OpenStreetMap,False,,
HIGH,Cooking Oil,Burger King,burger,"Browells Lane, TW13 7, London",TW13 7,,,51.4432211,-0.4057898,OpenStreetMap,False,,
HIGH,Cooking Oil,Burger King,burger,"Browells Lane, TW13 8, London",TW13 8,,,51.4432211,-0.4057898,OpenStreetMap,False,,
HIGH,Cooking Oil,Burger King,burger,"Browells Lane, TW13 9, London",TW13 9,,,51.4432211,-0.4057898,OpenStreetMap,False,,
HIGH,Cooking Oil,CFC Fried Chicken,fried_chicken,"238, High Street, TW3 0, London",TW3 0,,,51.4682736,-0.365928,OpenStreetMap,False,,
HIGH,Cooking Oil,CFC Fried Chicken,fried_chicken,"238, High Street, TW3 1, London",TW3 1,,,51.4682736,-0.365928,OpenStreetMap,False,,
HIGH,Cooking Oil,CFC Fried Chicken,fried_chicken,"238, High Street, TW3 2, London",TW3 2,,,51.4682736,-0.365928,OpenStreetMap,False,,
HIGH,Cooking Oil,CFC Fried Chicken,fried_chicken,"238, High Street, TW3 3, London",TW3 3,,,51.4682736,-0.365928,OpenStreetMap,False,,
HIGH,Cooking Oil,CFC Fried Chicken,fried_chicken,"238, High Street, TW3 4, London",TW3 4,,,51.4682736,-0.365928,OpenStreetMap,False,,
HIGH,Cooking Oil,CFC Fried Chicken,fried_chicken,"238, High Street, TW3 5, London",TW3 5,,,51.4682736,-0.365928,OpenStreetMap,False,,
HIGH,Cooking Oil,CFC Fried Chicken,fried_chicken,"238, High Street, TW3 6, London",TW3 6,,,51.4682736,-0.365928,OpenStreetMap,False,,
HIGH,Cooking Oil,CFC Fried Chicken,fried_chicken,"238, High Street, TW3 7, London",TW3 7,,,51.4682736,-0.365928,OpenStreetMap,False,,
HIGH,Cooking Oil,CFC Fried Chicken,fried_chicken,"238, High Street, TW3 8, London",TW3 8,,,51.4682736,-0.365928,OpenStreetMap,False,,
HIGH,Cooking Oil,CFC Fried Chicken,fried_chicken,"238, High Street, TW3 9, London",TW3 9,,,51.4682736,-0.365928,OpenStreetMap,False,,
HIGH,Cooking Oil,Chaat & Go,indian,"TW3 8, London",TW3 8,,,51.4664802,-0.3735132,OpenStreetMap,False,,
HIGH,Cooking Oil,Chaat & Go,indian,"UB3 0, London",UB3 0,,,51.4664802,-0.3735132,OpenStreetMap,False,,
HIGH,Cooking Oil,Chaat & Go,indian,"UB3 1, London",UB3 1,,,51.4664802,-0.3735132,OpenStreetMap,False,,
HIGH,Cooking Oil,Chaat & Go,indian,"UB3 2, London",UB3 2,,,51.4664802,-0.3735132,OpenStreetMap,False,,
HIGH,Cooking Oil,Chaat & Go,indian,"UB3 3, London",UB3 3,,,51.4664802,-0.3735132,OpenStreetMap,False,,
HIGH,Cooking Oil,Chaat & Go,indian,"UB3 4, London",UB3 4,,,51.4664802,-0.3735132,OpenStreetMap,False,,
HIGH,Cooking Oil,Chaat & Go,indian,"UB3 5, London",UB3 5,,,51.4664802,-0.3735132,OpenStreetMap,False,,
HIGH,Cooking Oil,Chaat & Go,indian,"UB3 6, London",UB3 6,,,51.4664802,-0.3735132,OpenStreetMap,False,,
HIGH,Cooking Oil,Chaat & Go,indian,"UB3 7, London",UB3 7,,,51.4664802,-0.3735132,OpenStreetMap,False,,
HIGH,Cooking Oil,Chaat & Go,indian,"UB3 8, London",UB3 8,,,51.4664802,-0.3735132,OpenStreetMap,False,,
HIGH,Cooking Oil,Chaat & Go,indian,"UB3 9, London",UB3 9,,,51.4664802,-0.3735132,OpenStreetMap,False,,
HIGH,Cooking Oil,Chaat & Go,indian,"UB4 0, London",UB4 0,,,51.4664802,-0.3735132,OpenStreetMap,False,,
HIGH,Cooking Oil,Chaat & Go,indian,"UB4 1, London",UB4 1,,,51.4664802,-0.3735132,OpenStreetMap,False,,
HIGH,Cooking Oil,Chaat & Go,indian,"UB4 2, London",UB4 2,,,51.4664802,-0.3735132,OpenStreetMap,False,,
HIGH,Cooking Oil,Chaat & Go,indian,"UB4 3, London",UB4 3,,,51.4664802,-0.3735132,OpenStreetMap,False,,
HIGH,Cooking Oil,Chaat & Go,indian,"UB4 4, London",UB4 4,,,51.4664802,-0.3735132,OpenStreetMap,False,,
HIGH,Cooking Oil,Chaat & Go,indian,"UB4 5, London",UB4 5,,,51.4664802,-0.3735132,OpenStreetMap,False,,
HIGH,Cooking Oil,Chaat & Go,indian,"UB4 6, London",UB4 6,,,51.4664802,-0.3735132,OpenStreetMap,False,,
HIGH,Cooking Oil,Chaat & Go,indian,"UB4 7, London",UB4 7,,,51.4664802,-0.3735132,OpenStreetMap,False,,
HIGH,Cooking Oil,Chaat & Go,indian,"UB4 8, London",UB4 8,,,51.4664802,-0.3735132,OpenStreetMap,False,,
HIGH,Cooking Oil,Chaat & Go,indian,"UB4 9, London",UB4 9,,,51.4664802,-0.3735132,OpenStreetMap,False,,
HIGH,Cooking Oil,Charcoal Chicken,restaurant,"TW3 8, London",TW3 8,,,51.4669633,-0.3697827,OpenStreetMap,False,,
HIGH,Cooking Oil,Crispy Dosa,indian,"TW3 0, London",TW3 0,,,51.469518,-0.3586492,OpenStreetMap,False,,
HIGH,Cooking Oil,Crispy Dosa,indian,"TW3 1, London",TW3 1,,,51.469518,-0.3586492,OpenStreetMap,False,,
HIGH,Cooking Oil,Crispy Dosa,indian,"TW3 2, London",TW3 2,,,51.469518,-0.3586492,OpenStreetMap,False,,
HIGH,Cooking Oil,Crispy Dosa,indian,"TW3 3, London",TW3 3,,,51.469518,-0.3586492,OpenStreetMap,False,,
HIGH,Cooking Oil,Crispy Dosa,indian,"TW3 4, London",TW3 4,,,51.469518,-0.3586492,OpenStreetMap,False,,
HIGH,Cooking Oil,Crispy Dosa,indian,"TW3 5, London",TW3 5,,,51.469518,-0.3586492,OpenStreetMap,False,,
HIGH,Cooking Oil,Crispy Dosa,indian,"TW3 6, London",TW3 6,,,51.469518,-0.3586492,OpenStreetMap,False,,
HIGH,Cooking Oil,Crispy Dosa,indian,"TW3 7, London",TW3 7,,,51.469518,-0.3586492,OpenStreetMap,False,,
HIGH,Cooking Oil,Crispy Dosa,indian,"TW3 9, London",TW3 9,,,51.469518,-0.3586492,OpenStreetMap,False,,
HIGH,Cooking Oil,Domino's,pizza,"5, High Street, TW13 0, London",TW13 0,,,51.4424067,-0.412549,OpenStreetMap,False,,
HIGH,Cooking Oil,Domino's,pizza,"5, High Street, TW13 1, London",TW13 1,,,51.4424067,-0.412549,OpenStreetMap,False,,
HIGH,Cooking Oil,Domino's,pizza,"5, High Street, TW13 3, London",TW13 3,,,51.4424067,-0.412549,OpenStreetMap,False,,
HIGH,Cooking Oil,Domino's,pizza,"5, High Street, TW13 4, London",TW13 4,,,51.4424067,-0.412549,OpenStreetMap,False,,
HIGH,Cooking Oil,Domino's,pizza,"5, High Street, TW13 5, London",TW13 5,,,51.4424067,-0.412549,OpenStreetMap,False,,
HIGH,Cooking Oil,Domino's,pizza,"5, High Street, TW13 6, London",TW13 6,,,51.4424067,-0.412549,OpenStreetMap,False,,
HIGH,Cooking Oil,Domino's,pizza,"5, High Street, TW13 7, London",TW13 7,,,51.4424067,-0.412549,OpenStreetMap,False,,
HIGH,Cooking Oil,Domino's,pizza,"5, High Street, TW13 8, London",TW13 8,,,51.4424067,-0.412549,OpenStreetMap,False,,
HIGH,Cooking Oil,Domino's,pizza,"5, High Street, TW13 9, London",TW13 9,,,51.4424067,-0.412549,OpenStreetMap,False,,
HIGH,Cooking Oil,Dragons Peri Peri,burger,"173, Staines Road, TW3 8, London",TW3 8,https://www.dragonsperiperi.co.uk/,,51.4664621,-0.3735962,OpenStreetMap,False,,
HIGH,Cooking Oil,Dragons Peri Peri,burger,"173, Staines Road, UB3 0, London",UB3 0,https://www.dragonsperiperi.co.uk/,,51.4664621,-0.3735962,OpenStreetMap,False,,
HIGH,Cooking Oil,Dragons Peri Peri,burger,"173, Staines Road, UB3 1, London",UB3 1,https://www.dragonsperiperi.co.uk/,,51.4664621,-0.3735962,OpenStreetMap,False,,
HIGH,Cooking Oil,Dragons Peri Peri,burger,"173, Staines Road, UB3 2, London",UB3 2,https://www.dragonsperiperi.co.uk/,,51.4664621,-0.3735962,OpenStreetMap,False,,
HIGH,Cooking Oil,Dragons Peri Peri,burger,"173, Staines Road, UB3 3, London",UB3 3,https://www.dragonsperiperi.co.uk/,,51.4664621,-0.3735962,OpenStreetMap,False,,
HIGH,Cooking Oil,Dragons Peri Peri,burger,"173, Staines Road, UB3 4, London",UB3 4,https://www.dragonsperiperi.co.uk/,,51.4664621,-0.3735962,OpenStreetMap,False,,
HIGH,Cooking Oil,Dragons Peri Peri,burger,"173, Staines Road, UB3 5, London",UB3 5,https://www.dragonsperiperi.co.uk/,,51.4664621,-0.3735962,OpenStreetMap,False,,
HIGH,Cooking Oil,Dragons Peri Peri,burger,"173, Staines Road, UB3 6, London",UB3 6,https://www.dragonsperiperi.co.uk/,,51.4664621,-0.3735962,OpenStreetMap,False,,
HIGH,Cooking Oil,Dragons Peri Peri,burger,"173, Staines Road, UB3 7, London",UB3 7,https://www.dragonsperiperi.co.uk/,,51.4664621,-0.3735962,OpenStreetMap,False,,
