Priority,Lead Type,Business Name,Cuisine Type,Address,Postcode,Phone,Website,Latitude,Longitude,Source,Contacted,Contact_Date,Contact_Notes
HIGH,Cooking Oil,5 Star Pizza & Chicken,fast_food,"101, N4 2, London",N4 2,,,51.5688716,-0.1115411,OpenStreetMap,False,,
HIGH,Cooking Oil,5 Star Pizza & Chicken,fast_food,"101, N4 3, London",N4 3,,,51.5688716,-0.1115411,OpenStreetMap,False,,
HIGH,Cooking Oil,5 Star Pizza & Chicken,fast_food,"101, N7 6, London",N7 6,,,51.5688716,-0.1115411,OpenStreetMap,False,,
HIGH,Cooking Oil,Abla,kebab,"123-125, Kingsland High Street, N1 1, London",N1 1,,,51.5502516,-0.0753584,OpenStreetMap,False,,
HIGH,Cooking Oil,Abshir Restaurant,fast_food,"326, Holloway Road, N5 2, London",N5 2,,,51.5550461,-0.1150235,OpenStreetMap,False,,
HIGH,Cooking Oil,Abshir Restaurant,fast_food,"326, Holloway Road, N7 4, London",N7 4,,,51.5550461,-0.1150235,OpenStreetMap,False,,
HIGH,Cooking Oil,Abshir Restaurant,fast_food,"326, Holloway Road, N7 5, London",N7 5,,,51.5550461,-0.1150235,OpenStreetMap,False,,
HIGH,Cooking Oil,Abshir Restaurant,fast_food,"326, Holloway Road, N7 7, London",N7 7,,,51.5550461,-0.1150235,OpenStreetMap,False,,
HIGH,Cooking Oil,Abshir Restaurant,fast_food,"326, Holloway Road, N7 8, London",N7 8,,,51.5550461,-0.1150235,OpenStreetMap,False,,
HIGH,Cooking Oil,Abshir Restaurant,fast_food,"326, Holloway Road, N7 9, London",N7 9,,,51.5550461,-0.1150235,OpenStreetMap,False,,
HIGH,Cooking Oil,Alby's Pizza,pizza,"2, City North Place, N4 2, London",N4 2,,,51.564865,-0.1077857,OpenStreetMap,False,,
HIGH,Cooking Oil,Alby's Pizza,pizza,"2, City North Place, N5 3, London",N5 3,,,51.564865,-0.1077857,OpenStreetMap,False,,
HIGH,Cooking Oil,Alby's Pizza,pizza,"2, City North Place, N7 4, London",N7 4,,,51.564865,-0.1077857,OpenStreetMap,False,,
HIGH,Cooking Oil,Alby's Pizza,pizza,"2, City North Place, N7 6, London",N7 6,,,51.564865,-0.1077857,OpenStreetMap,False,,
HIGH,Cooking Oil,Alby's Pizza,pizza,"2, City North Place, N7 8, London",N7 8,,,51.564865,-0.1077857,OpenStreetMap,False,,
HIGH,Cooking Oil,Ali Baba,kebab,"144, Kingsland High Street, N1 1, London",N1 1,,,51.5504282,-0.0748465,OpenStreetMap,False,,
HIGH,Cooking Oil,Amigos,burger,"N4 2, London",N4 2,,,51.5590311,-0.117474,OpenStreetMap,False,,
HIGH,Cooking Oil,Amigos,burger,"N7 2, London",N7 2,,,51.5590311,-0.117474,OpenStreetMap,False,,
HIGH,Cooking Oil,Amigos,burger,"N7 4, London",N7 4,,,51.5590311,-0.117474,OpenStreetMap,False,,
HIGH,Cooking Oil,Amigos,burger,"N7 5, London",N7 5,,,51.5590311,-0.117474,OpenStreetMap,False,,
HIGH,Cooking Oil,Amigos,burger,"N7 6, London",N7 6,,,51.5590311,-0.117474,OpenStreetMap,False,,
HIGH,Cooking Oil,Amigos,burger,"N7 7, London",N7 7,,,51.5590311,-0.117474,OpenStreetMap,False,,
HIGH,Cooking Oil,Amigos,burger,"N7 8, London",N7 8,,,51.5590311,-0.117474,OpenStreetMap,False,,
HIGH,Cooking Oil,Amigos,burger,"N7 9, London",N7 9,,,51.5590311,-0.117474,OpenStreetMap,False,,
HIGH,Cooking Oil,Amigos,burger,"N19 8, London",N19 8,,,51.5590311,-0.117474,OpenStreetMap,False,,
HIGH,Cooking Oil,Angel Kebab Burger Pizza,fast_food,"133, Essex road, N1 0, London",N1 0,+44 20 7226 0812,,51.5396363,-0.0976484,OpenStreetMap,False,,
HIGH,Cooking Oil,Angel Kebab Burger Pizza,fast_food,"133, Essex road, N1 2, London",N1 2,+44 20 7226 0812,,51.5396363,-0.0976484,OpenStreetMap,False,,
HIGH,Cooking Oil,Angel Kebab Burger Pizza,fast_food,"133, Essex road, N1 3, London",N1 3,+44 20 7226 0812,,51.5396363,-0.0976484,OpenStreetMap,False,,
HIGH,Cooking Oil,Angel Kebab Burger Pizza,fast_food,"133, Essex road, N1 4, London",N1 4,+44 20 7226 0812,,51.5396363,-0.0976484,OpenStreetMap,False,,
HIGH,Cooking Oil,Angel Kebab Burger Pizza,fast_food,"133, Essex road, N1 5, London",N1 5,+44 20 7226 0812,,51.5396363,-0.0976484,OpenStreetMap,False,,
HIGH,Cooking Oil,Angel Kebab Burger Pizza,fast_food,"133, Essex road, N1 6, London",N1 6,+44 20 7226 0812,,51.5396363,-0.0976484,OpenStreetMap,False,,
HIGH,Cooking Oil,Angel Kebab Burger Pizza,fast_food,"133, Essex road, N1 7, London",N1 7,+44 20 7226 0812,,51.5396363,-0.0976484,OpenStreetMap,False,,
HIGH,Cooking Oil,Angel Kebab Burger Pizza,fast_food,"133, Essex road, N1 8, London",N1 8,+44 20 7226 0812,,51.5396363,-0.0976484,OpenStreetMap,False,,
HIGH,Cooking Oil,Angel Kebab Burger Pizza,fast_food,"133, Essex road, N4 0, London",N4 0,+44 20 7226 0812,,51.5396363,-0.0976484,OpenStreetMap,False,,
HIGH,Cooking Oil,Angel Kebab Burger Pizza,fast_food,"133, Essex road, N4 1, London",N4 1,+44 20 7226 0812,,51.5396363,-0.0976484,OpenStreetMap,False,,
HIGH,Cooking Oil,Angel Kebab Burger Pizza,fast_food,"133, Essex road, N4 4, London",N4 4,+44 20 7226 0812,,51.5396363,-0.0976484,OpenStreetMap,False,,
HIGH,Cooking Oil,Angel Kebab Burger Pizza,fast_food,"133, Essex road, N4 5, London",N4 5,+44 20 7226 0812,,51.5396363,-0.0976484,OpenStreetMap,False,,
HIGH,Cooking Oil,Angel Kebab Burger Pizza,fast_food,"133, Essex road, N4 7, London",N4 7,+44 20 7226 0812,,51.5396363,-0.0976484,OpenStreetMap,False,,
HIGH,Cooking Oil,Angel Kebab Burger Pizza,fast_food,"133, Essex road, N4 8, London",N4 8,+44 20 7226 0812,,51.5396363,-0.0976484,OpenStreetMap,False,,
HIGH,Cooking Oil,Angel Kebab Burger Pizza,fast_food,"133, Essex road, N4 9, London",N4 9,+44 20 7226 0812,,51.5396363,-0.0976484,OpenStreetMap,False,,
HIGH,Cooking Oil,Angel Kebab Burger Pizza,fast_food,"133, Essex road, N19 0, London",N19 0,+44 20 7226 0812,,51.5396363,-0.0976484,OpenStreetMap,False,,
HIGH,Cooking Oil,Angel Kebab Burger Pizza,fast_food,"133, Essex road, N19 2, London",N19 2,+44 20 7226 0812,,51.5396363,-0.0976484,OpenStreetMap,False,,
HIGH,Cooking Oil,Angel Kebab Burger Pizza,fast_food,"133, Essex road, N19 3, London",N19 3,+44 20 7226 0812,,51.5396363,-0.0976484,OpenStreetMap,False,,
HIGH,Cooking Oil,Angel Kebab Burger Pizza,fast_food,"133, Essex road, N19 4, London",N19 4,+44 20 7226 0812,,51.5396363,-0.0976484,OpenStreetMap,False,,
HIGH,Cooking Oil,Angel Kebab Burger Pizza,fast_food,"133, Essex road, N19 5, London",N19 5,+44 20 7226 0812,,51.5396363,-0.0976484,OpenStreetMap,False,,
HIGH,Cooking Oil,Angel Kebab Burger Pizza,fast_food,"133, Essex road, N19 6, London",N19 6,+44 20 7226 0812,,51.5396363,-0.0976484,OpenStreetMap,False,,
HIGH,Cooking Oil,Archway Kebabs,kebab,"26, Junction Road, N19 7, London",N19 7,,,51.5646763,-0.135226,OpenStreetMap,False,,
HIGH,Cooking Oil,Archway Kebabs,kebab,"26, Junction Road, N19 8, London",N19 8,,,51.5646763,-0.135226,OpenStreetMap,False,,
HIGH,Cooking Oil,Archway Kebabs,kebab,"26, Junction Road, N19 9, London",N19 9,,,51.5646763,-0.135226,OpenStreetMap,False,,
HIGH,Cooking Oil,Atlantic,fish_and_chips,"275, Green Lanes, N5 9, London",N5 9,,,51.5641182,-0.0928117,OpenStreetMap,False,,
HIGH,Cooking Oil,Auntie Anne's,pretzel,"59, Kingsland High Street, N1 1, London",N1 1,,,51.5482799,-0.075588,OpenStreetMap,False,,
HIGH,Cooking Oil,Azuma,sushi,"361, N7 2, London",N7 2,,,51.5566393,-0.1180927,OpenStreetMap,False,,
HIGH,Cooking Oil,Azuma,sushi,"361, N7 4, London",N7 4,,,51.5566393,-0.1180927,OpenStreetMap,False,,
HIGH,Cooking Oil,Azuma,sushi,"361, N7 5, London",N7 5,,,51.5566393,-0.1180927,OpenStreetMap,False,,
HIGH,Cooking Oil,Azuma,sushi,"361, N7 7, London",N7 7,,,51.5566393,-0.1180927,OpenStreetMap,False,,
HIGH,Cooking Oil,Azuma,sushi,"361, N7 8, London",N7 8,,,51.5566393,-0.1180927,OpenStreetMap,False,,
HIGH,Cooking Oil,Azuma,sushi,"361, N7 9, London",N7 9,,,51.5566393,-0.1180927,OpenStreetMap,False,,
HIGH,Cooking Oil,BIRD,chicken,"N1 9, London",N1 9,,,51.5476952,-0.1060421,OpenStreetMap,False,,
HIGH,Cooking Oil,BIRD,chicken,"N1 9, London",N1 9,,,51.5476951,-0.1060424,OpenStreetMap,False,,
HIGH,Cooking Oil,BIRD,chicken,"N5 0, London",N5 0,,,51.5476952,-0.1060421,OpenStreetMap,False,,
HIGH,Cooking Oil,BIRD,chicken,"N5 0, London",N5 0,,,51.5476951,-0.1060424,OpenStreetMap,False,,
HIGH,Cooking Oil,BIRD,chicken,"N5 2, London",N5 2,,,51.5476952,-0.1060421,OpenStreetMap,False,,
HIGH,Cooking Oil,BIRD,chicken,"N5 2, London",N5 2,,,51.5476951,-0.1060424,OpenStreetMap,False,,
HIGH,Cooking Oil,BIRD,chicken,"N5 5, London",N5 5,,,51.5476952,-0.1060421,OpenStreetMap,False,,
HIGH,Cooking Oil,BIRD,chicken,"N5 5, London",N5 5,,,51.5476951,-0.1060424,OpenStreetMap,False,,
HIGH,Cooking Oil,BIRD,chicken,"N5 6, London",N5 6,,,51.5476952,-0.1060421,OpenStreetMap,False,,
HIGH,Cooking Oil,BIRD,chicken,"N5 6, London",N5 6,,,51.5476951,-0.1060424,OpenStreetMap,False,,
HIGH,Cooking Oil,BIRD,chicken,"N5 7, London",N5 7,,,51.5476952,-0.1060421,OpenStreetMap,False,,
HIGH,Cooking Oil,BIRD,chicken,"N5 7, London",N5 7,,,51.5476951,-0.1060424,OpenStreetMap,False,,
HIGH,Cooking Oil,BIRD,chicken,"N7 0, London",N7 0,,,51.5476952,-0.1060421,OpenStreetMap,False,,
HIGH,Cooking Oil,BIRD,chicken,"N7 0, London",N7 0,,,51.5476951,-0.1060424,OpenStreetMap,False,,
HIGH,Cooking Oil,BIRD,chicken,"N7 3, London",N7 3,,,51.5476952,-0.1060421,OpenStreetMap,False,,
HIGH,Cooking Oil,BIRD,chicken,"N7 3, London",N7 3,,,51.5476951,-0.1060424,OpenStreetMap,False,,
HIGH,Cooking Oil,Best 2,fast_food,"N4 6, London",N4 6,,,51.5825927,-0.1182826,OpenStreetMap,False,,
HIGH,Cooking Oil,Big Papa's Peri Peri,fast_food,"67, Holloway Road, N1 9, London",N1 9,,,51.547312,-0.1055892,OpenStreetMap,False,,
HIGH,Cooking Oil,Big Papa's Peri Peri,fast_food,"67, Holloway Road, N5 0, London",N5 0,,,51.547312,-0.1055892,OpenStreetMap,False,,
HIGH,Cooking Oil,Big Papa's Peri Peri,fast_food,"67, Holloway Road, N5 2, London",N5 2,,,51.547312,-0.1055892,OpenStreetMap,False,,
HIGH,Cooking Oil,Big Papa's Peri Peri,fast_food,"67, Holloway Road, N5 5, London",N5 5,,,51.547312,-0.1055892,OpenStreetMap,False,,
HIGH,Cooking Oil,Big Papa's Peri Peri,fast_food,"67, Holloway Road, N5 6, London",N5 6,,,51.547312,-0.1055892,OpenStreetMap,False,,
