Priority,Lead Type,Business Name,Cuisine Type,Address,Postcode,Phone,Website,Latitude,Longitude,Source,Contacted,Contact_Date,Contact_Notes
HIGH,Cooking Oil,Batterfly,fish_and_chips,"90, Alexandra Drive, KT5 0, London",KT5 0,,,51.3899371,-0.2831005,OpenStreetMap,False,,
HIGH,Cooking Oil,Batterfly,fish_and_chips,"90, Alexandra Drive, KT5 1, London",KT5 1,,,51.3899371,-0.2831005,OpenStreetMap,False,,
HIGH,Cooking Oil,Batterfly,fish_and_chips,"90, Alexandra Drive, KT5 2, London",KT5 2,,,51.3899371,-0.2831005,OpenStreetMap,False,,
HIGH,Cooking Oil,Batterfly,fish_and_chips,"90, Alexandra Drive, KT5 3, London",KT5 3,,,51.3899371,-0.2831005,OpenStreetMap,False,,
HIGH,Cooking Oil,Batterfly,fish_and_chips,"90, Alexandra Drive, KT5 4, London",KT5 4,,,51.3899371,-0.2831005,OpenStreetMap,False,,
HIGH,Cooking Oil,Batterfly,fish_and_chips,"90, Alexandra Drive, KT5 5, London",KT5 5,,,51.3899371,-0.2831005,OpenStreetMap,False,,
HIGH,Cooking Oil,Batterfly,fish_and_chips,"90, Alexandra Drive, KT5 6, London",KT5 6,,,51.3899371,-0.2831005,OpenStreetMap,False,,
HIGH,Cooking Oil,Batterfly,fish_and_chips,"90, Alexandra Drive, KT5 7, London",KT5 7,,,51.3899371,-0.2831005,OpenStreetMap,False,,
HIGH,Cooking Oil,Batterfly,fish_and_chips,"90, Alexandra Drive, KT5 8, London",KT5 8,,,51.3899371,-0.2831005,OpenStreetMap,False,,
HIGH,Cooking Oil,Batterfly,fish_and_chips,"90, Alexandra Drive, KT5 9, London",KT5 9,,,51.3899371,-0.2831005,OpenStreetMap,False,,
HIGH,Cooking Oil,Bibimbap & Chimaik,pizza,"160, High Street, KT3 0, London",KT3 0,020 8001 1546,https://www.chickennewmalden.co.uk/,51.3992382,-0.2553649,OpenStreetMap,False,,
HIGH,Cooking Oil,Byrons,burger,"4, Jerome Place, KT1 2, London",KT1 2,,,51.4094094,-0.3078849,OpenStreetMap,False,,
HIGH,Cooking Oil,Byrons,burger,"4, Jerome Place, KT1 3, London",KT1 3,,,51.4094094,-0.3078849,OpenStreetMap,False,,
HIGH,Cooking Oil,Byrons,burger,"4, Jerome Place, KT1 4, London",KT1 4,,,51.4094094,-0.3078849,OpenStreetMap,False,,
HIGH,Cooking Oil,Byrons,burger,"4, Jerome Place, KT1 5, London",KT1 5,,,51.4094094,-0.3078849,OpenStreetMap,False,,
HIGH,Cooking Oil,Byrons,burger,"4, Jerome Place, KT1 8, London",KT1 8,,,51.4094094,-0.3078849,OpenStreetMap,False,,
HIGH,Cooking Oil,Byrons,burger,"4, Jerome Place, KT2 0, London",KT2 0,,,51.4094094,-0.3078849,OpenStreetMap,False,,
HIGH,Cooking Oil,Byrons,burger,"4, Jerome Place, KT2 1, London",KT2 1,,,51.4094094,-0.3078849,OpenStreetMap,False,,
HIGH,Cooking Oil,Byrons,burger,"4, Jerome Place, KT2 2, London",KT2 2,,,51.4094094,-0.3078849,OpenStreetMap,False,,
HIGH,Cooking Oil,Byrons,burger,"4, Jerome Place, KT2 3, London",KT2 3,,,51.4094094,-0.3078849,OpenStreetMap,False,,
HIGH,Cooking Oil,Byrons,burger,"4, Jerome Place, KT2 4, London",KT2 4,,,51.4094094,-0.3078849,OpenStreetMap,False,,
HIGH,Cooking Oil,Byrons,burger,"4, Jerome Place, KT2 5, London",KT2 5,,,51.4094094,-0.3078849,OpenStreetMap,False,,
HIGH,Cooking Oil,Byrons,burger,"4, Jerome Place, KT2 6, London",KT2 6,,,51.4094094,-0.3078849,OpenStreetMap,False,,
HIGH,Cooking Oil,Byrons,burger,"4, Jerome Place, KT2 7, London",KT2 7,,,51.4094094,-0.3078849,OpenStreetMap,False,,
HIGH,Cooking Oil,Byrons,burger,"4, Jerome Place, KT2 8, London",KT2 8,,,51.4094094,-0.3078849,OpenStreetMap,False,,
HIGH,Cooking Oil,Byrons,burger,"4, Jerome Place, KT2 9, London",KT2 9,,,51.4094094,-0.3078849,OpenStreetMap,False,,
HIGH,Cooking Oil,Checkers,burger,"128, Central Road, KT4 3, London",KT4 3,,,51.3790781,-0.2423444,OpenStreetMap,False,,
HIGH,Cooking Oil,Checkers,burger,"128, Central Road, KT4 4, London",KT4 4,,,51.3790781,-0.2423444,OpenStreetMap,False,,
HIGH,Cooking Oil,Checkers,burger,"128, Central Road, KT4 5, London",KT4 5,,,51.3790781,-0.2423444,OpenStreetMap,False,,
HIGH,Cooking Oil,Checkers,burger,"128, Central Road, KT4 6, London",KT4 6,,,51.3790781,-0.2423444,OpenStreetMap,False,,
HIGH,Cooking Oil,Checkers,burger,"128, Central Road, KT4 7, London",KT4 7,,,51.3790781,-0.2423444,OpenStreetMap,False,,
HIGH,Cooking Oil,Checkers,burger,"128, Central Road, KT4 8, London",KT4 8,,,51.3790781,-0.2423444,OpenStreetMap,False,,
HIGH,Cooking Oil,Checkers,burger,"128, Central Road, KT4 9, London",KT4 9,,,51.3790781,-0.2423444,OpenStreetMap,False,,
HIGH,Cooking Oil,Chicken Cottage,chicken,"3, Brighton Road, KT6 3, London",KT6 3,,,51.3908789,-0.3088497,OpenStreetMap,False,,
HIGH,Cooking Oil,Chicken Express,fast_food,"176, Central Road, KT4 3, London",KT4 3,,,51.3798936,-0.2437144,OpenStreetMap,False,,
HIGH,Cooking Oil,Chicken Express,fast_food,"176, Central Road, KT4 4, London",KT4 4,,,51.3798936,-0.2437144,OpenStreetMap,False,,
HIGH,Cooking Oil,Chicken Express,fast_food,"176, Central Road, KT4 5, London",KT4 5,,,51.3798936,-0.2437144,OpenStreetMap,False,,
HIGH,Cooking Oil,Chicken Express,fast_food,"176, Central Road, KT4 6, London",KT4 6,,,51.3798936,-0.2437144,OpenStreetMap,False,,
HIGH,Cooking Oil,Chicken Express,fast_food,"176, Central Road, KT4 7, London",KT4 7,,,51.3798936,-0.2437144,OpenStreetMap,False,,
HIGH,Cooking Oil,Chicken Express,fast_food,"176, Central Road, KT4 8, London",KT4 8,,,51.3798936,-0.2437144,OpenStreetMap,False,,
HIGH,Cooking Oil,Chicken Express,fast_food,"176, Central Road, KT4 9, London",KT4 9,,,51.3798936,-0.2437144,OpenStreetMap,False,,
HIGH,Cooking Oil,Chicken World Peri Peri,chicken,"KT4 0, London",KT4 0,,,51.3854418,-0.2632181,OpenStreetMap,False,,
HIGH,Cooking Oil,Chicken World Peri Peri,chicken,"KT4 1, London",KT4 1,,,51.3854418,-0.2632181,OpenStreetMap,False,,
HIGH,Cooking Oil,Chicken World Peri Peri,chicken,"KT4 2, London",KT4 2,,,51.3854418,-0.2632181,OpenStreetMap,False,,
HIGH,Cooking Oil,Chilli Cha Cha,pakistani;coffee_shop,"Market Place, KT1 2, London",KT1 2,,,51.4097644,-0.3064884,OpenStreetMap,False,,
HIGH,Cooking Oil,Chilli Cha Cha,indian;rice;curry;lamb;takeaway;delivery,"Unit 27, Ancient Market, KT1 2, London",KT1 2,+44 7928 913347,,51.4096718,-0.3063941,OpenStreetMap,False,,
HIGH,Cooking Oil,Chilli Cha Cha,pakistani;coffee_shop,"Market Place, KT1 3, London",KT1 3,,,51.4097644,-0.3064884,OpenStreetMap,False,,
HIGH,Cooking Oil,Chilli Cha Cha,indian;rice;curry;lamb;takeaway;delivery,"Unit 27, Ancient Market, KT1 3, London",KT1 3,+44 7928 913347,,51.4096718,-0.3063941,OpenStreetMap,False,,
HIGH,Cooking Oil,Chilli Cha Cha,pakistani;coffee_shop,"Market Place, KT1 4, London",KT1 4,,,51.4097644,-0.3064884,OpenStreetMap,False,,
HIGH,Cooking Oil,Chilli Cha Cha,indian;rice;curry;lamb;takeaway;delivery,"Unit 27, Ancient Market, KT1 4, London",KT1 4,+44 7928 913347,,51.4096718,-0.3063941,OpenStreetMap,False,,
HIGH,Cooking Oil,Chilli Cha Cha,pakistani;coffee_shop,"Market Place, KT1 5, London",KT1 5,,,51.4097644,-0.3064884,OpenStreetMap,False,,
HIGH,Cooking Oil,Chilli Cha Cha,indian;rice;curry;lamb;takeaway;delivery,"Unit 27, Ancient Market, KT1 5, London",KT1 5,+44 7928 913347,,51.4096718,-0.3063941,OpenStreetMap,False,,
HIGH,Cooking Oil,Chilli Cha Cha,pakistani;coffee_shop,"Market Place, KT1 8, London",KT1 8,,,51.4097644,-0.3064884,OpenStreetMap,False,,
HIGH,Cooking Oil,Chilli Cha Cha,indian;rice;curry;lamb;takeaway;delivery,"Unit 27, Ancient Market, KT1 8, London",KT1 8,+44 7928 913347,,51.4096718,-0.3063941,OpenStreetMap,False,,
HIGH,Cooking Oil,Chilli Cha Cha,pakistani;coffee_shop,"Market Place, KT2 0, London",KT2 0,,,51.4097644,-0.3064884,OpenStreetMap,False,,
HIGH,Cooking Oil,Chilli Cha Cha,indian;rice;curry;lamb;takeaway;delivery,"Unit 27, Ancient Market, KT2 0, London",KT2 0,+44 7928 913347,,51.4096718,-0.3063941,OpenStreetMap,False,,
HIGH,Cooking Oil,Chilli Cha Cha,pakistani;coffee_shop,"Market Place, KT2 1, London",KT2 1,,,51.4097644,-0.3064884,OpenStreetMap,False,,
HIGH,Cooking Oil,Chilli Cha Cha,indian;rice;curry;lamb;takeaway;delivery,"Unit 27, Ancient Market, KT2 1, London",KT2 1,+44 7928 913347,,51.4096718,-0.3063941,OpenStreetMap,False,,
HIGH,Cooking Oil,Chilli Cha Cha,pakistani;coffee_shop,"Market Place, KT2 2, London",KT2 2,,,51.4097644,-0.3064884,OpenStreetMap,False,,
HIGH,Cooking Oil,Chilli Cha Cha,indian;rice;curry;lamb;takeaway;delivery,"Unit 27, Ancient Market, KT2 2, London",KT2 2,+44 7928 913347,,51.4096718,-0.3063941,OpenStreetMap,False,,
HIGH,Cooking Oil,Chilli Cha Cha,pakistani;coffee_shop,"Market Place, KT2 3, London",KT2 3,,,51.4097644,-0.3064884,OpenStreetMap,False,,
