Priority,Lead Type,Business Name,Cuisine Type,Address,Postcode,Phone,Website,Latitude,Longitude,Source,Contacted,Contact_Date,Contact_Notes
HIGH,Cooking Oil,400 Rabbits,pizza,"SE11 7, London",SE11 7,,,51.4935622,-0.0959134,OpenStreetMap,False,,
HIGH,Cooking Oil,500 Degrees,pizza,"191, Ferndale Road, SW9 2, London",SW9 2,,https://500degrees.co/brixton/,51.4639525,-0.116139,OpenStreetMap,False,,
HIGH,Cooking Oil,AK Chicken,chicken,"190, Norwood Road, SE27 1, London",SE27 1,,,51.439602,-0.1064176,OpenStreetMap,False,,
HIGH,Cooking Oil,AK Chicken,chicken,"190, Norwood Road, SE27 6, London",SE27 6,,,51.439602,-0.1064176,OpenStreetMap,False,,
HIGH,Cooking Oil,AK Chicken,chicken,"190, Norwood Road, SE27 7, London",SE27 7,,,51.439602,-0.1064176,OpenStreetMap,False,,
HIGH,Cooking Oil,AK Chicken,chicken,"190, Norwood Road, SW2 2, London",SW2 2,,,51.439602,-0.1064176,OpenStreetMap,False,,
HIGH,Cooking Oil,Ace Plaice,fish_and_chips,"545, Norwood Road, SE27 1, London",SE27 1,,,51.4340481,-0.1035219,OpenStreetMap,False,,
HIGH,Cooking Oil,Ace Plaice,fish_and_chips,"545, Norwood Road, SE27 3, London",SE27 3,,,51.4340481,-0.1035219,OpenStreetMap,False,,
HIGH,Cooking Oil,Ace Plaice,fish_and_chips,"545, Norwood Road, SE27 6, London",SE27 6,,,51.4340481,-0.1035219,OpenStreetMap,False,,
HIGH,Cooking Oil,Ace Plaice,fish_and_chips,"545, Norwood Road, SE27 7, London",SE27 7,,,51.4340481,-0.1035219,OpenStreetMap,False,,
HIGH,Cooking Oil,Ace Plaice,fish_and_chips,"545, Norwood Road, SE27 8, London",SE27 8,,,51.4340481,-0.1035219,OpenStreetMap,False,,
HIGH,Cooking Oil,Alba,pizza,"3, Bedford Road, SW4 3, London",SW4 3,,,51.4651993,-0.1291139,OpenStreetMap,False,,
HIGH,Cooking Oil,Alba,pizza,"3, Bedford Road, SW4 7, London",SW4 7,,,51.4651993,-0.1291139,OpenStreetMap,False,,
HIGH,Cooking Oil,American Hot Pizza,pizza,"30, Manor Place, SE11 7, London",SE11 7,+44 20 7703 0044,https://www.americanhotpizza.co.uk/,51.4891079,-0.0977784,OpenStreetMap,False,,
HIGH,Cooking Oil,Aroma Peri Peri Grill,chicken;kebab,"231, Coldharbour Lane, SE24 0, London",SE24 0,,,51.4652732,-0.1029892,OpenStreetMap,False,,
HIGH,Cooking Oil,Aroma Peri Peri Grill,chicken;kebab,"231, Coldharbour Lane, SE24 1, London",SE24 1,,,51.4652732,-0.1029892,OpenStreetMap,False,,
HIGH,Cooking Oil,Aroma Peri Peri Grill,chicken;kebab,"231, Coldharbour Lane, SE24 2, London",SE24 2,,,51.4652732,-0.1029892,OpenStreetMap,False,,
HIGH,Cooking Oil,Aroma Peri Peri Grill,chicken;kebab,"231, Coldharbour Lane, SE24 3, London",SE24 3,,,51.4652732,-0.1029892,OpenStreetMap,False,,
HIGH,Cooking Oil,Aroma Peri Peri Grill,chicken;kebab,"231, Coldharbour Lane, SE24 4, London",SE24 4,,,51.4652732,-0.1029892,OpenStreetMap,False,,
