Priority,Lead Type,Business Name,Cuisine Type,Address,Postcode,Phone,Website,Latitude,Longitude,Source,Contacted,Contact_Date,Contact_Notes
HIGH,Cooking Oil,7 Burgers,burger,"315, New Cross Road, SE14 0, London",SE14 0,,,51.4757344,-0.037497,OpenStreetMap,False,,
HIGH,Cooking Oil,7 Burgers,burger,"315, New Cross Road, SE14 1, London",SE14 1,,,51.4757344,-0.037497,OpenStreetMap,False,,
HIGH,Cooking Oil,7 Burgers,burger,"315, New Cross Road, SE14 2, London",SE14 2,,,51.4757344,-0.037497,OpenStreetMap,False,,
HIGH,Cooking Oil,7 Burgers,burger,"315, New Cross Road, SE14 3, London",SE14 3,,,51.4757344,-0.037497,OpenStreetMap,False,,
HIGH,Cooking Oil,7 Burgers,burger,"315, New Cross Road, SE14 5, London",SE14 5,,,51.4757344,-0.037497,OpenStreetMap,False,,
HIGH,Cooking Oil,7 Burgers,burger,"315, New Cross Road, SE14 6, London",SE14 6,,,51.4757344,-0.037497,OpenStreetMap,False,,
HIGH,Cooking Oil,7 Burgers,burger,"315, New Cross Road, SE14 7, London",SE14 7,,,51.4757344,-0.037497,OpenStreetMap,False,,
HIGH,Cooking Oil,7 Burgers,burger,"315, New Cross Road, SE14 9, London",SE14 9,,,51.4757344,-0.037497,OpenStreetMap,False,,
HIGH,Cooking Oil,After Hours,fast_food,"265F, New Cross Road, SE14 0, London",SE14 0,,,51.4751421,-0.0397316,OpenStreetMap,False,,
HIGH,Cooking Oil,After Hours,fast_food,"265F, New Cross Road, SE14 1, London",SE14 1,,,51.4751421,-0.0397316,OpenStreetMap,False,,
HIGH,Cooking Oil,After Hours,fast_food,"265F, New Cross Road, SE14 2, London",SE14 2,,,51.4751421,-0.0397316,OpenStreetMap,False,,
HIGH,Cooking Oil,After Hours,fast_food,"265F, New Cross Road, SE14 3, London",SE14 3,,,51.4751421,-0.0397316,OpenStreetMap,False,,
HIGH,Cooking Oil,After Hours,fast_food,"265F, New Cross Road, SE14 4, London",SE14 4,,,51.4751421,-0.0397316,OpenStreetMap,False,,
