Priority,Lead Type,Business Name,Cuisine Type,Address,Postcode,Phone,Website,Latitude,Longitude,Source,Contacted,Contact_Date,Contact_Notes
HIGH,Cooking Oil,7 Mamas,kebab,"2, Rancliffe Road, E6 0, London",E6 0,,https://www.7mamas.com,51.5277217,0.0559885,OpenStreetMap,False,,
HIGH,Cooking Oil,7 Mamas,kebab,"2, Rancliffe Road, E6 6, London",E6 6,,https://www.7mamas.com,51.5277217,0.0559885,OpenStreetMap,False,,
HIGH,Cooking Oil,7 Mamas,kebab,"2, Rancliffe Road, E6 9, London",E6 9,,https://www.7mamas.com,51.5277217,0.0559885,OpenStreetMap,False,,
HIGH,Cooking Oil,8slices Pizzeria,pizza,"ExCeL Marina, E16 3, London",E16 3,+44 20 3971 2225,https://www.8slicespizzeria.co.uk/,51.5074886,0.0218001,OpenStreetMap,False,,
HIGH,Cooking Oil,8slices Pizzeria,pizza,"ExCeL Marina, E16 7, London",E16 7,+44 20 3971 2225,https://www.8slicespizzeria.co.uk/,51.5074886,0.0218001,OpenStreetMap,False,,
HIGH,Cooking Oil,8slices Pizzeria,pizza,"ExCeL Marina, E16 9, London",E16 9,+44 20 3971 2225,https://www.8slicespizzeria.co.uk/,51.5074886,0.0218001,OpenStreetMap,False,,
HIGH,Cooking Oil,A'La Pizza,pizza,"28, Upton Lane, E7 0, London",E7 0,,,51.5453057,0.0257613,OpenStreetMap,False,,
HIGH,Cooking Oil,A'La Pizza,pizza,"28, Upton Lane, E7 3, London",E7 3,,,51.5453057,0.0257613,OpenStreetMap,False,,
HIGH,Cooking Oil,A'La Pizza,pizza,"28, Upton Lane, E7 4, London",E7 4,,,51.5453057,0.0257613,OpenStreetMap,False,,
HIGH,Cooking Oil,A'La Pizza,pizza,"28, Upton Lane, E7 6, London",E7 6,,,51.5453057,0.0257613,OpenStreetMap,False,,
HIGH,Cooking Oil,A'La Pizza,pizza,"28, Upton Lane, E7 7, London",E7 7,,,51.5453057,0.0257613,OpenStreetMap,False,,
HIGH,Cooking Oil,A'La Pizza,pizza,"28, Upton Lane, E7 9, London",E7 9,,,51.5453057,0.0257613,OpenStreetMap,False,,
HIGH,Cooking Oil,A1 Kebabish Grill,pakistani;kebab,"684, Romford Road, E12 0, London",E12 0,+44 20 8514 4800,http://a1-kebabish.co.uk/,51.5517457,0.0510237,OpenStreetMap,False,,
HIGH,Cooking Oil,A1 Kebabish Grill,pakistani;kebab,"684, Romford Road, E12 2, London",E12 2,+44 20 8514 4800,http://a1-kebabish.co.uk/,51.5517457,0.0510237,OpenStreetMap,False,,
HIGH,Cooking Oil,A1 Kebabish Grill,pakistani;kebab,"684, Romford Road, E12 3, London",E12 3,+44 20 8514 4800,http://a1-kebabish.co.uk/,51.5517457,0.0510237,OpenStreetMap,False,,
HIGH,Cooking Oil,A1 Kebabish Grill,pakistani;kebab,"684, Romford Road, E12 5, London",E12 5,+44 20 8514 4800,http://a1-kebabish.co.uk/,51.5517457,0.0510237,OpenStreetMap,False,,
HIGH,Cooking Oil,A1 Kebabish Grill,pakistani;kebab,"684, Romford Road, E12 6, London",E12 6,+44 20 8514 4800,http://a1-kebabish.co.uk/,51.5517457,0.0510237,OpenStreetMap,False,,
HIGH,Cooking Oil,A1 Kebabish Grill,pakistani;kebab,"684, Romford Road, E12 7, London",E12 7,+44 20 8514 4800,http://a1-kebabish.co.uk/,51.5517457,0.0510237,OpenStreetMap,False,,
