Priority,Lead Type,Business Name,Cuisine Type,Address,Postcode,Phone,Website,Latitude,Longitude,Source,Contacted,Contact_Date,Contact_Notes
HIGH,Cooking Oil,Arthur's Pizza,pizza,"20, The Green, TW1 0, London",TW1 0,+44 20 8893 3995,https://arthurspizza.co.uk/,51.4445323,-0.3404145,OpenStreetMap,False,,
HIGH,Cooking Oil,Arthur's Pizza,pizza,"20, The Green, TW1 1, London",TW1 1,+44 20 8893 3995,https://arthurspizza.co.uk/,51.4445323,-0.3404145,OpenStreetMap,False,,
HIGH,Cooking Oil,Arthur's Pizza,pizza,"20, The Green, TW1 2, London",TW1 2,+44 20 8893 3995,https://arthurspizza.co.uk/,51.4445323,-0.3404145,OpenStreetMap,False,,
HIGH,Cooking Oil,Arthur's Pizza,pizza,"20, The Green, TW1 3, London",TW1 3,+44 20 8893 3995,https://arthurspizza.co.uk/,51.4445323,-0.3404145,OpenStreetMap,False,,
HIGH,Cooking Oil,Arthur's Pizza,pizza,"20, The Green, TW1 4, London",TW1 4,+44 20 8893 3995,https://arthurspizza.co.uk/,51.4445323,-0.3404145,OpenStreetMap,False,,
HIGH,Cooking Oil,Arthur's Pizza,pizza,"20, The Green, TW1 5, London",TW1 5,+44 20 8893 3995,https://arthurspizza.co.uk/,51.4445323,-0.3404145,OpenStreetMap,False,,
HIGH,Cooking Oil,Arthur's Pizza,pizza,"20, The Green, TW1 6, London",TW1 6,+44 20 8893 3995,https://arthurspizza.co.uk/,51.4445323,-0.3404145,OpenStreetMap,False,,
HIGH,Cooking Oil,Arthur's Pizza,pizza,"20, The Green, TW1 7, London",TW1 7,+44 20 8893 3995,https://arthurspizza.co.uk/,51.4445323,-0.3404145,OpenStreetMap,False,,
HIGH,Cooking Oil,Arthur's Pizza,pizza,"20, The Green, TW1 8, London",TW1 8,+44 20 8893 3995,https://arthurspizza.co.uk/,51.4445323,-0.3404145,OpenStreetMap,False,,
HIGH,Cooking Oil,Arthur's Pizza,pizza,"20, The Green, TW1 9, London",TW1 9,+44 20 8893 3995,https://arthurspizza.co.uk/,51.4445323,-0.3404145,OpenStreetMap,False,,
HIGH,Cooking Oil,Bagels Already,fast_food,"Kew Road, TW9 3, London",TW9 3,,,51.4630543,-0.3009159,OpenStreetMap,False,,
HIGH,Cooking Oil,Bagels Already,fast_food,"Kew Road, TW9 5, London",TW9 5,,,51.4630543,-0.3009159,OpenStreetMap,False,,
HIGH,Cooking Oil,Bagels Already,fast_food,"Kew Road, TW9 6, London",TW9 6,,,51.4630543,-0.3009159,OpenStreetMap,False,,
HIGH,Cooking Oil,Bagels Already,fast_food,"Kew Road, TW9 8, London",TW9 8,,,51.4630543,-0.3009159,OpenStreetMap,False,,
HIGH,Cooking Oil,Bagels Already,fast_food,"Kew Road, TW10 4, London",TW10 4,,,51.4630543,-0.3009159,OpenStreetMap,False,,
HIGH,Cooking Oil,Barriga Grill House,pizza_takeaway,"365, Upper Richmond Road, SW13 3, London",SW13 3,,,51.4644297,-0.2374536,OpenStreetMap,False,,
HIGH,Cooking Oil,Barriga Grill House,pizza_takeaway,"365, Upper Richmond Road, SW13 8, London",SW13 8,,,51.4644297,-0.2374536,OpenStreetMap,False,,
HIGH,Cooking Oil,Barriga Grill House,pizza_takeaway,"365, Upper Richmond Road, SW13 9, London",SW13 9,,,51.4644297,-0.2374536,OpenStreetMap,False,,
HIGH,Cooking Oil,Barriga Grill House,pizza_takeaway,"365, Upper Richmond Road, SW15 0, London",SW15 0,,,51.4644297,-0.2374536,OpenStreetMap,False,,
HIGH,Cooking Oil,Barriga Grill House,pizza_takeaway,"365, Upper Richmond Road, SW15 1, London",SW15 1,,,51.4644297,-0.2374536,OpenStreetMap,False,,
HIGH,Cooking Oil,Barriga Grill House,pizza_takeaway,"365, Upper Richmond Road, SW15 2, London",SW15 2,,,51.4644297,-0.2374536,OpenStreetMap,False,,
HIGH,Cooking Oil,Barriga Grill House,pizza_takeaway,"365, Upper Richmond Road, SW15 3, London",SW15 3,,,51.4644297,-0.2374536,OpenStreetMap,False,,
HIGH,Cooking Oil,Barriga Grill House,pizza_takeaway,"365, Upper Richmond Road, SW15 4, London",SW15 4,,,51.4644297,-0.2374536,OpenStreetMap,False,,
HIGH,Cooking Oil,Barriga Grill House,pizza_takeaway,"365, Upper Richmond Road, SW15 5, London",SW15 5,,,51.4644297,-0.2374536,OpenStreetMap,False,,
HIGH,Cooking Oil,Barriga Grill House,pizza_takeaway,"365, Upper Richmond Road, SW15 7, London",SW15 7,,,51.4644297,-0.2374536,OpenStreetMap,False,,
HIGH,Cooking Oil,Barriga Grill House,pizza_takeaway,"365, Upper Richmond Road, SW15 8, London",SW15 8,,,51.4644297,-0.2374536,OpenStreetMap,False,,
HIGH,Cooking Oil,Barriga Grill House,pizza_takeaway,"365, Upper Richmond Road, SW15 9, London",SW15 9,,,51.4644297,-0.2374536,OpenStreetMap,False,,
HIGH,Cooking Oil,Base Face Pizza,pizza,"112, Kew Road, TW9 0, London",TW9 0,,https://www.basefacepizza.com,51.4664143,-0.2973463,OpenStreetMap,False,,
HIGH,Cooking Oil,Base Face Pizza,pizza,"112, Kew Road, TW9 1, London",TW9 1,,https://www.basefacepizza.com,51.4664143,-0.2973463,OpenStreetMap,False,,
HIGH,Cooking Oil,Base Face Pizza,pizza,"112, Kew Road, TW9 2, London",TW9 2,,https://www.basefacepizza.com,51.4664143,-0.2973463,OpenStreetMap,False,,
HIGH,Cooking Oil,Base Face Pizza,pizza,"112, Kew Road, TW9 3, London",TW9 3,,https://www.basefacepizza.com,51.4664143,-0.2973463,OpenStreetMap,False,,
HIGH,Cooking Oil,Base Face Pizza,pizza,"112, Kew Road, TW9 4, London",TW9 4,,https://www.basefacepizza.com,51.4664143,-0.2973463,OpenStreetMap,False,,
HIGH,Cooking Oil,Base Face Pizza,pizza,"112, Kew Road, TW9 5, London",TW9 5,,https://www.basefacepizza.com,51.4664143,-0.2973463,OpenStreetMap,False,,
HIGH,Cooking Oil,Base Face Pizza,pizza,"112, Kew Road, TW9 6, London",TW9 6,,https://www.basefacepizza.com,51.4664143,-0.2973463,OpenStreetMap,False,,
HIGH,Cooking Oil,Base Face Pizza,pizza,"112, Kew Road, TW9 7, London",TW9 7,,https://www.basefacepizza.com,51.4664143,-0.2973463,OpenStreetMap,False,,
HIGH,Cooking Oil,Base Face Pizza,pizza,"112, Kew Road, TW9 8, London",TW9 8,,https://www.basefacepizza.com,51.4664143,-0.2973463,OpenStreetMap,False,,
HIGH,Cooking Oil,Base Face Pizza,pizza,"112, Kew Road, TW9 9, London",TW9 9,,https://www.basefacepizza.com,51.4664143,-0.2973463,OpenStreetMap,False,,
HIGH,Cooking Oil,Base Face Pizza,pizza,"35A, Barnes High Street, SW13 1, London",SW13 1,+44 20 8878 7270,https://www.basefacepizza.com,51.4734285,-0.2512332,OpenStreetMap,False,,
HIGH,Cooking Oil,Base Face Pizza,pizza,"35A, Barnes High Street, SW13 2, London",SW13 2,+44 20 8878 7270,https://www.basefacepizza.com,51.4734285,-0.2512332,OpenStreetMap,False,,
HIGH,Cooking Oil,Base Face Pizza,pizza,"35A, Barnes High Street, SW13 3, London",SW13 3,+44 20 8878 7270,https://www.basefacepizza.com,51.4734285,-0.2512332,OpenStreetMap,False,,
HIGH,Cooking Oil,Base Face Pizza,pizza,"35A, Barnes High Street, SW13 7, London",SW13 7,+44 20 8878 7270,https://www.basefacepizza.com,51.4734285,-0.2512332,OpenStreetMap,False,,
HIGH,Cooking Oil,Base Face Pizza,pizza,"35A, Barnes High Street, SW13 9, London",SW13 9,+44 20 8878 7270,https://www.basefacepizza.com,51.4734285,-0.2512332,OpenStreetMap,False,,
HIGH,Cooking Oil,Basilico,pizza,"178, Upper Richmond Road West, SW13 7, London",SW13 7,+44 800 096 8202,,51.4652086,-0.2627223,OpenStreetMap,False,,
HIGH,Cooking Oil,Basilico,pizza,"178, Upper Richmond Road West, SW14 0, London",SW14 0,+44 800 096 8202,,51.4652086,-0.2627223,OpenStreetMap,False,,
HIGH,Cooking Oil,Basilico,pizza,"178, Upper Richmond Road West, SW14 2, London",SW14 2,+44 800 096 8202,,51.4652086,-0.2627223,OpenStreetMap,False,,
HIGH,Cooking Oil,Basilico,pizza,"178, Upper Richmond Road West, SW14 3, London",SW14 3,+44 800 096 8202,,51.4652086,-0.2627223,OpenStreetMap,False,,
HIGH,Cooking Oil,Basilico,pizza,"178, Upper Richmond Road West, SW14 4, London",SW14 4,+44 800 096 8202,,51.4652086,-0.2627223,OpenStreetMap,False,,
HIGH,Cooking Oil,Basilico,pizza,"178, Upper Richmond Road West, SW14 5, London",SW14 5,+44 800 096 8202,,51.4652086,-0.2627223,OpenStreetMap,False,,
HIGH,Cooking Oil,Basilico,pizza,"178, Upper Richmond Road West, SW14 6, London",SW14 6,+44 800 096 8202,,51.4652086,-0.2627223,OpenStreetMap,False,,
HIGH,Cooking Oil,Basilico,pizza,"178, Upper Richmond Road West, SW14 7, London",SW14 7,+44 800 096 8202,,51.4652086,-0.2627223,OpenStreetMap,False,,
HIGH,Cooking Oil,Basilico,pizza,"178, Upper Richmond Road West, SW14 8, London",SW14 8,+44 800 096 8202,,51.4652086,-0.2627223,OpenStreetMap,False,,
HIGH,Cooking Oil,Basilico,pizza,"178, Upper Richmond Road West, SW14 9, London",SW14 9,+44 800 096 8202,,51.4652086,-0.2627223,OpenStreetMap,False,,
HIGH,Cooking Oil,Batter Fry,fish_and_chips,"209, Upper Richmond Road West, SW13 7, London",SW13 7,+44 20 8878 8499,,51.4649647,-0.2614966,OpenStreetMap,False,,
HIGH,Cooking Oil,Batter Fry,fish_and_chips,"209, Upper Richmond Road West, SW14 0, London",SW14 0,+44 20 8878 8499,,51.4649647,-0.2614966,OpenStreetMap,False,,
HIGH,Cooking Oil,Batter Fry,fish_and_chips,"209, Upper Richmond Road West, SW14 2, London",SW14 2,+44 20 8878 8499,,51.4649647,-0.2614966,OpenStreetMap,False,,
HIGH,Cooking Oil,Batter Fry,fish_and_chips,"209, Upper Richmond Road West, SW14 3, London",SW14 3,+44 20 8878 8499,,51.4649647,-0.2614966,OpenStreetMap,False,,
HIGH,Cooking Oil,Batter Fry,fish_and_chips,"209, Upper Richmond Road West, SW14 4, London",SW14 4,+44 20 8878 8499,,51.4649647,-0.2614966,OpenStreetMap,False,,
HIGH,Cooking Oil,Batter Fry,fish_and_chips,"209, Upper Richmond Road West, SW14 5, London",SW14 5,+44 20 8878 8499,,51.4649647,-0.2614966,OpenStreetMap,False,,
HIGH,Cooking Oil,Batter Fry,fish_and_chips,"209, Upper Richmond Road West, SW14 6, London",SW14 6,+44 20 8878 8499,,51.4649647,-0.2614966,OpenStreetMap,False,,
HIGH,Cooking Oil,Batter Fry,fish_and_chips,"209, Upper Richmond Road West, SW14 7, London",SW14 7,+44 20 8878 8499,,51.4649647,-0.2614966,OpenStreetMap,False,,
HIGH,Cooking Oil,Batter Fry,fish_and_chips,"209, Upper Richmond Road West, SW14 8, London",SW14 8,+44 20 8878 8499,,51.4649647,-0.2614966,OpenStreetMap,False,,
HIGH,Cooking Oil,Batter Fry,fish_and_chips,"209, Upper Richmond Road West, SW14 9, London",SW14 9,+44 20 8878 8499,,51.4649647,-0.2614966,OpenStreetMap,False,,
HIGH,Cooking Oil,Bengal Village,fast_food,"74, Sheen Road, TW9 0, London",TW9 0,,,51.4618548,-0.2970242,OpenStreetMap,False,,
HIGH,Cooking Oil,Bengal Village,fast_food,"74, Sheen Road, TW9 1, London",TW9 1,,,51.4618548,-0.2970242,OpenStreetMap,False,,
HIGH,Cooking Oil,Bengal Village,fast_food,"74, Sheen Road, TW9 2, London",TW9 2,,,51.4618548,-0.2970242,OpenStreetMap,False,,
HIGH,Cooking Oil,Bengal Village,fast_food,"74, Sheen Road, TW9 3, London",TW9 3,,,51.4618548,-0.2970242,OpenStreetMap,False,,
HIGH,Cooking Oil,Bengal Village,fast_food,"74, Sheen Road, TW9 4, London",TW9 4,,,51.4618548,-0.2970242,OpenStreetMap,False,,
HIGH,Cooking Oil,Bengal Village,fast_food,"74, Sheen Road, TW9 5, London",TW9 5,,,51.4618548,-0.2970242,OpenStreetMap,False,,
HIGH,Cooking Oil,Bengal Village,fast_food,"74, Sheen Road, TW9 6, London",TW9 6,,,51.4618548,-0.2970242,OpenStreetMap,False,,
HIGH,Cooking Oil,Bengal Village,fast_food,"74, Sheen Road, TW9 7, London",TW9 7,,,51.4618548,-0.2970242,OpenStreetMap,False,,
HIGH,Cooking Oil,Bengal Village,fast_food,"74, Sheen Road, TW9 8, London",TW9 8,,,51.4618548,-0.2970242,OpenStreetMap,False,,
HIGH,Cooking Oil,Bengal Village,fast_food,"74, Sheen Road, TW10 4, London",TW10 4,,,51.4618548,-0.2970242,OpenStreetMap,False,,
HIGH,Cooking Oil,Burger King,burger,"42-44, Putney High Street, SW15 6, London",SW15 6,,,51.464911,-0.2150275,OpenStreetMap,False,,
HIGH,Cooking Oil,Calowries,burger;cafe;coffee;smoothies,"178, Lower Richmond Road, SW13 8, London",SW13 8,+44 20 8785 1214,https://www.calowries.co.uk/,51.4685039,-0.2268227,OpenStreetMap,False,,
HIGH,Cooking Oil,Calowries,burger;cafe;coffee;smoothies,"178, Lower Richmond Road, SW15 6, London",SW15 6,+44 20 8785 1214,https://www.calowries.co.uk/,51.4685039,-0.2268227,OpenStreetMap,False,,
HIGH,Cooking Oil,Calowries,burger;cafe;coffee;smoothies,"178, Lower Richmond Road, SW15 9, London",SW15 9,+44 20 8785 1214,https://www.calowries.co.uk/,51.4685039,-0.2268227,OpenStreetMap,False,,
HIGH,Cooking Oil,Chicken City,chicken,"388, Richmond Road, TW9 8, London",TW9 8,,,51.455602,-0.3098125,OpenStreetMap,False,,
HIGH,Cooking Oil,Chicken Shop,chicken,"79-81, Putney High Street, SW15 6, London",SW15 6,,,51.4635751,-0.2153822,OpenStreetMap,False,,
HIGH,Cooking Oil,China Chef,chinese,"78, White Hart Lane, SW13 1, London",SW13 1,+44 20 8408 2828,,51.4682378,-0.2546563,OpenStreetMap,False,,
HIGH,Cooking Oil,China Chef,chinese,"78, White Hart Lane, SW13 2, London",SW13 2,+44 20 8408 2828,,51.4682378,-0.2546563,OpenStreetMap,False,,
HIGH,Cooking Oil,China Chef,chinese,"78, White Hart Lane, SW13 3, London",SW13 3,+44 20 8408 2828,,51.4682378,-0.2546563,OpenStreetMap,False,,
HIGH,Cooking Oil,China Chef,chinese,"78, White Hart Lane, SW13 7, London",SW13 7,+44 20 8408 2828,,51.4682378,-0.2546563,OpenStreetMap,False,,
HIGH,Cooking Oil,China Chef,chinese,"78, White Hart Lane, SW13 9, London",SW13 9,+44 20 8408 2828,,51.4682378,-0.2546563,OpenStreetMap,False,,
HIGH,Cooking Oil,China Chef,chinese,"78, White Hart Lane, SW14 2, London",SW14 2,+44 20 8408 2828,,51.4682378,-0.2546563,OpenStreetMap,False,,
HIGH,Cooking Oil,China Chef,chinese,"78, White Hart Lane, SW14 7, London",SW14 7,+44 20 8408 2828,,51.4682378,-0.2546563,OpenStreetMap,False,,
HIGH,Cooking Oil,China Chef,chinese,"78, White Hart Lane, SW14 8, London",SW14 8,+44 20 8408 2828,,51.4682378,-0.2546563,OpenStreetMap,False,,
HIGH,Cooking Oil,China Pearl,chinese,"205, Sandycombe Road, TW9 0, London",TW9 0,+44 20 8940 9711,,51.4722375,-0.2867464,OpenStreetMap,False,,
