Priority,Lead Type,Business Name,Cuisine Type,Address,Postcode,Phone,Website,Latitude,Longitude,Source,Contacted,Contact_Date,Contact_Notes
HIGH,Cooking Oil,081 Pizzeria,pizza,"64, Peckham Rye, SE15 4, London",SE15 4,,,51.464955,-0.0666922,OpenStreetMap,False,,
HIGH,Cooking Oil,400 Rabbits,pizza,"SE17 4, London",SE17 4,,,51.4935622,-0.0959134,OpenStreetMap,False,,
HIGH,Cooking Oil,400 Rabbits,pizza,"SE17 5, London",SE17 5,,,51.4935622,-0.0959134,OpenStreetMap,False,,
HIGH,Cooking Oil,400 Rabbits,pizza,"SE17 6, London",SE17 6,,,51.4935622,-0.0959134,OpenStreetMap,False,,
HIGH,Cooking Oil,400 Rabbits,pizza,"SE17 9, London",SE17 9,,,51.4935622,-0.0959134,OpenStreetMap,False,,
HIGH,Cooking Oil,AFC,chicken,"SE16 4, London",SE16 4,,,51.4830281,-0.0654094,OpenStreetMap,False,,
HIGH,Cooking Oil,Albion Fish Bar,fish_and_chips,"SE16 0, London",SE16 0,,,51.4994627,-0.0528952,OpenStreetMap,False,,
HIGH,Cooking Oil,Albion Fish Bar,fish_and_chips,"SE16 1, London",SE16 1,,,51.4994627,-0.0528952,OpenStreetMap,False,,
HIGH,Cooking Oil,Albion Fish Bar,fish_and_chips,"SE16 6, London",SE16 6,,,51.4994627,-0.0528952,OpenStreetMap,False,,
HIGH,Cooking Oil,Albion Fish Bar,fish_and_chips,"SE16 9, London",SE16 9,,,51.4994627,-0.0528952,OpenStreetMap,False,,
HIGH,Cooking Oil,All that Falafel,fast_food,"SE1 1, London",SE1 1,,,51.5052866,-0.089089,OpenStreetMap,False,,
HIGH,Cooking Oil,All that Falafel,fast_food,"SE1 2, London",SE1 2,,,51.5052866,-0.089089,OpenStreetMap,False,,
HIGH,Cooking Oil,All that Falafel,fast_food,"SE1 5, London",SE1 5,,,51.5052866,-0.089089,OpenStreetMap,False,,
HIGH,Cooking Oil,American Hot Pizza,pizza,"30, Manor Place, SE17 0, London",SE17 0,+44 20 7703 0044,https://www.americanhotpizza.co.uk/,51.4891079,-0.0977784,OpenStreetMap,False,,
HIGH,Cooking Oil,American Hot Pizza,pizza,"30, Manor Place, SE17 1, London",SE17 1,+44 20 7703 0044,https://www.americanhotpizza.co.uk/,51.4891079,-0.0977784,OpenStreetMap,False,,
HIGH,Cooking Oil,American Hot Pizza,pizza,"30, Manor Place, SE17 2, London",SE17 2,+44 20 7703 0044,https://www.americanhotpizza.co.uk/,51.4891079,-0.0977784,OpenStreetMap,False,,
HIGH,Cooking Oil,American Hot Pizza,pizza,"30, Manor Place, SE17 4, London",SE17 4,+44 20 7703 0044,https://www.americanhotpizza.co.uk/,51.4891079,-0.0977784,OpenStreetMap,False,,
