Priority,Lead Type,Business Name,Cuisine Type,Address,Postcode,Phone,Website,Latitude,Longitude,Source,Contacted,Contact_Date,Contact_Notes
HIGH,Cooking Oil,ACE Pizza,pizza,"E2 0, London",E2 0,,https://www.thisisacepizza.com/,51.5363638,-0.057508,OpenStreetMap,False,,
HIGH,Cooking Oil,AMIGOS burgers and shakes,kebab;chicken,"156, Commercial Road, E1 0, London",E1 0,+44 20 7709 0144;+44 20 7709 0145,https://www.amigosburgersandshakes.com/,51.5146156,-0.0622443,OpenStreetMap,False,,
HIGH,Cooking Oil,AV Grill,fast_food,"25, Aberfeldy Street, E14 6, London",E14 6,,,51.5130375,-0.0055775,OpenStreetMap,False,,
HIGH,Cooking Oil,Abokado,japanese,"24-27, Harbour Exchange Square, E14 0, London",E14 0,,,51.4994015,-0.015855,OpenStreetMap,False,,
HIGH,Cooking Oil,Abokado,japanese,"24-27, Harbour Exchange Square, E14 3, London",E14 3,,,51.4994015,-0.015855,OpenStreetMap,False,,
HIGH,Cooking Oil,Abokado,japanese,"24-27, Harbour Exchange Square, E14 5, London",E14 5,,,51.4994015,-0.015855,OpenStreetMap,False,,
HIGH,Cooking Oil,Abokado,japanese,"24-27, Harbour Exchange Square, E14 9, London",E14 9,,,51.4994015,-0.015855,OpenStreetMap,False,,
HIGH,Cooking Oil,Al-Barr,fast_food,"55, Burdett Road, E3 2, London",E3 2,,,51.5224474,-0.0337167,OpenStreetMap,False,,
HIGH,Cooking Oil,Al-Barr,fast_food,"55, Burdett Road, E3 3, London",E3 3,,,51.5224474,-0.0337167,OpenStreetMap,False,,
HIGH,Cooking Oil,Al-Barr,fast_food,"55, Burdett Road, E3 5, London",E3 5,,,51.5224474,-0.0337167,OpenStreetMap,False,,
HIGH,Cooking Oil,Al-Barr,fast_food,"55, Burdett Road, E3 6, London",E3 6,,,51.5224474,-0.0337167,OpenStreetMap,False,,
HIGH,Cooking Oil,Al-Barr,fast_food,"55, Burdett Road, E3 8, London",E3 8,,,51.5224474,-0.0337167,OpenStreetMap,False,,
HIGH,Cooking Oil,Al-Barr,fast_food,"55, Burdett Road, E3 9, London",E3 9,,,51.5224474,-0.0337167,OpenStreetMap,False,,
