Priority,Lead Type,Business Name,Cuisine Type,Address,Postcode,Phone,Website,Latitude,Longitude,Source,Contacted,Contact_Date,Contact_Notes
HIGH,Cooking Oil,AFC,chicken,"232, Chingford Road, E11 4, London",E11 4,,,51.5980857,-0.0152278,OpenStreetMap,False,,
HIGH,Cooking Oil,AFC,chicken,"232, Chingford Road, E11 6, London",E11 6,,,51.5980857,-0.0152278,OpenStreetMap,False,,
HIGH,Cooking Oil,AFC,chicken,"232, Chingford Road, N15 0, London",N15 0,,,51.5980857,-0.0152278,OpenStreetMap,False,,
HIGH,Cooking Oil,AFC,chicken,"232, Chingford Road, N15 1, London",N15 1,,,51.5980857,-0.0152278,OpenStreetMap,False,,
HIGH,Cooking Oil,AFC,chicken,"232, Chingford Road, N15 2, London",N15 2,,,51.5980857,-0.0152278,OpenStreetMap,False,,
HIGH,Cooking Oil,AFC,chicken,"232, Chingford Road, N15 3, London",N15 3,,,51.5980857,-0.0152278,OpenStreetMap,False,,
HIGH,Cooking Oil,AFC,chicken,"232, Chingford Road, N15 4, London",N15 4,,,51.5980857,-0.0152278,OpenStreetMap,False,,
HIGH,Cooking Oil,AFC,chicken,"232, Chingford Road, N15 5, London",N15 5,,,51.5980857,-0.0152278,OpenStreetMap,False,,
HIGH,Cooking Oil,AFC,chicken,"232, Chingford Road, N15 6, London",N15 6,,,51.5980857,-0.0152278,OpenStreetMap,False,,
HIGH,Cooking Oil,AFC,chicken,"232, Chingford Road, N15 7, London",N15 7,,,51.5980857,-0.0152278,OpenStreetMap,False,,
HIGH,Cooking Oil,AFC,chicken,"232, Chingford Road, N15 8, London",N15 8,,,51.5980857,-0.0152278,OpenStreetMap,False,,
HIGH,Cooking Oil,AFC,chicken,"232, Chingford Road, N15 9, London",N15 9,,,51.5980857,-0.0152278,OpenStreetMap,False,,
HIGH,Cooking Oil,Amore,pasta,"E17 0, London",E17 0,,,51.5827566,-0.0245391,OpenStreetMap,False,,
HIGH,Cooking Oil,Amore,pasta,"E17 1, London",E17 1,,,51.5827566,-0.0245391,OpenStreetMap,False,,
HIGH,Cooking Oil,Amore,pasta,"E17 3, London",E17 3,,,51.5827566,-0.0245391,OpenStreetMap,False,,
HIGH,Cooking Oil,Amore,pasta,"E17 4, London",E17 4,,,51.5827566,-0.0245391,OpenStreetMap,False,,
HIGH,Cooking Oil,Amore,pasta,"E17 5, London",E17 5,,,51.5827566,-0.0245391,OpenStreetMap,False,,
HIGH,Cooking Oil,Amore,pasta,"E17 6, London",E17 6,,,51.5827566,-0.0245391,OpenStreetMap,False,,
HIGH,Cooking Oil,Amore,pasta,"E17 7, London",E17 7,,,51.5827566,-0.0245391,OpenStreetMap,False,,
HIGH,Cooking Oil,Amore,pasta,"E17 8, London",E17 8,,,51.5827566,-0.0245391,OpenStreetMap,False,,
HIGH,Cooking Oil,Amore,pasta,"E17 9, London",E17 9,,,51.5827566,-0.0245391,OpenStreetMap,False,,
HIGH,Cooking Oil,Atlantic Fish Bar,fish_and_chips,"405, Lea Bridge Road, E10 6, London",E10 6,,,51.5712335,-0.0231248,OpenStreetMap,False,,
HIGH,Cooking Oil,BBQ Express,kebab,"2, Hall Lane, E4 0, London",E4 0,,,51.6171164,-0.0185363,OpenStreetMap,False,,
HIGH,Cooking Oil,BBQ Express,kebab,"2, Hall Lane, E4 2, London",E4 2,,,51.6171164,-0.0185363,OpenStreetMap,False,,
HIGH,Cooking Oil,Band of Burgers,burger,"154, Hoe Street, E17 0, London",E17 0,,,51.5868105,-0.0207364,OpenStreetMap,False,,
HIGH,Cooking Oil,Band of Burgers,burger,"154, Hoe Street, E17 1, London",E17 1,,,51.5868105,-0.0207364,OpenStreetMap,False,,
HIGH,Cooking Oil,Band of Burgers,burger,"154, Hoe Street, E17 3, London",E17 3,,,51.5868105,-0.0207364,OpenStreetMap,False,,
HIGH,Cooking Oil,Band of Burgers,burger,"154, Hoe Street, E17 4, London",E17 4,,,51.5868105,-0.0207364,OpenStreetMap,False,,
HIGH,Cooking Oil,Band of Burgers,burger,"154, Hoe Street, E17 5, London",E17 5,,,51.5868105,-0.0207364,OpenStreetMap,False,,
HIGH,Cooking Oil,Band of Burgers,burger,"154, Hoe Street, E17 6, London",E17 6,,,51.5868105,-0.0207364,OpenStreetMap,False,,
HIGH,Cooking Oil,Band of Burgers,burger,"154, Hoe Street, E17 7, London",E17 7,,,51.5868105,-0.0207364,OpenStreetMap,False,,
HIGH,Cooking Oil,Band of Burgers,burger,"154, Hoe Street, E17 8, London",E17 8,,,51.5868105,-0.0207364,OpenStreetMap,False,,
HIGH,Cooking Oil,Band of Burgers,burger,"154, Hoe Street, E17 9, London",E17 9,,,51.5868105,-0.0207364,OpenStreetMap,False,,
HIGH,Cooking Oil,Beer + Burger Store,burger,"E17 1, London",E17 1,,https://www.beerandburgerstore.com/,51.5794497,-0.0182118,OpenStreetMap,False,,
HIGH,Cooking Oil,Beer + Burger Store,burger,"E17 4, London",E17 4,,https://www.beerandburgerstore.com/,51.5794497,-0.0182118,OpenStreetMap,False,,
HIGH,Cooking Oil,Beer + Burger Store,burger,"E17 5, London",E17 5,,https://www.beerandburgerstore.com/,51.5794497,-0.0182118,OpenStreetMap,False,,
HIGH,Cooking Oil,Beer + Burger Store,burger,"E17 6, London",E17 6,,https://www.beerandburgerstore.com/,51.5794497,-0.0182118,OpenStreetMap,False,,
HIGH,Cooking Oil,Beer + Burger Store,burger,"E17 7, London",E17 7,,https://www.beerandburgerstore.com/,51.5794497,-0.0182118,OpenStreetMap,False,,
HIGH,Cooking Oil,Beer + Burger Store,burger,"E17 8, London",E17 8,,https://www.beerandburgerstore.com/,51.5794497,-0.0182118,OpenStreetMap,False,,
HIGH,Cooking Oil,Beer + Burger Store,burger,"E17 9, London",E17 9,,https://www.beerandburgerstore.com/,51.5794497,-0.0182118,OpenStreetMap,False,,
HIGH,Cooking Oil,Berliner,kebab,"313, Lea Bridge Road, E10 6, London",E10 6,,,51.5702239,-0.0258632,OpenStreetMap,False,,
HIGH,Cooking Oil,Best Fried Chicken,chicken,"142, High Road Leyton, E10 9, London",E10 9,,,51.5548798,-0.0051333,OpenStreetMap,False,,
HIGH,Cooking Oil,Best Kebab,kebab,"116, High Street, E17 0, London",E17 0,,,51.5832138,-0.0265621,OpenStreetMap,False,,
HIGH,Cooking Oil,Best Kebab,kebab,"116, High Street, E17 1, London",E17 1,,,51.5832138,-0.0265621,OpenStreetMap,False,,
HIGH,Cooking Oil,Best Kebab,kebab,"116, High Street, E17 3, London",E17 3,,,51.5832138,-0.0265621,OpenStreetMap,False,,
HIGH,Cooking Oil,Best Kebab,kebab,"116, High Street, E17 4, London",E17 4,,,51.5832138,-0.0265621,OpenStreetMap,False,,
HIGH,Cooking Oil,Best Kebab,kebab,"116, High Street, E17 5, London",E17 5,,,51.5832138,-0.0265621,OpenStreetMap,False,,
HIGH,Cooking Oil,Best Kebab,kebab,"116, High Street, E17 6, London",E17 6,,,51.5832138,-0.0265621,OpenStreetMap,False,,
HIGH,Cooking Oil,Best Kebab,kebab,"116, High Street, E17 7, London",E17 7,,,51.5832138,-0.0265621,OpenStreetMap,False,,
HIGH,Cooking Oil,Best Kebab,kebab,"116, High Street, E17 8, London",E17 8,,,51.5832138,-0.0265621,OpenStreetMap,False,,
HIGH,Cooking Oil,Best Kebab,kebab,"116, High Street, E17 9, London",E17 9,,,51.5832138,-0.0265621,OpenStreetMap,False,,
HIGH,Cooking Oil,Biff's Jack Shack,fast_food,"24-26, Orford Road, E17 1, London",E17 1,,https://biffsjackshack.com/walthamstow,51.582715,-0.0130347,OpenStreetMap,False,,
