Priority,Lead Type,Business Name,Cuisine Type,Address,Postcode,Phone,Website,Latitude,Longitude,Source,Contacted,Contact_Date,Contact_Notes
HIGH,Cooking Oil,Anchor Fish Bar,fish_and_chips,"218, Upper Richmond Road, SW15 0, London",SW15 0,,,51.4612123,-0.2182662,OpenStreetMap,False,,
HIGH,Cooking Oil,Anchor Fish Bar,fish_and_chips,"218, Upper Richmond Road, SW15 1, London",SW15 1,,,51.4612123,-0.2182662,OpenStreetMap,False,,
HIGH,Cooking Oil,Anchor Fish Bar,fish_and_chips,"218, Upper Richmond Road, SW15 2, London",SW15 2,,,51.4612123,-0.2182662,OpenStreetMap,False,,
HIGH,Cooking Oil,Anchor Fish Bar,fish_and_chips,"218, Upper Richmond Road, SW15 3, London",SW15 3,,,51.4612123,-0.2182662,OpenStreetMap,False,,
HIGH,Cooking Oil,Anchor Fish Bar,fish_and_chips,"218, Upper Richmond Road, SW15 4, London",SW15 4,,,51.4612123,-0.2182662,OpenStreetMap,False,,
HIGH,Cooking Oil,Anchor Fish Bar,fish_and_chips,"218, Upper Richmond Road, SW15 8, London",SW15 8,,,51.4612123,-0.2182662,OpenStreetMap,False,,
HIGH,Cooking Oil,Artemis,kebab;burger;chicken,"731, Garratt Lane, SW17 5, London",SW17 5,,https://artemistooting.co.uk/,51.4345555,-0.1852212,OpenStreetMap,False,,
HIGH,Cooking Oil,Artemis,kebab;burger;chicken,"731, Garratt Lane, SW18 4, London",SW18 4,,https://artemistooting.co.uk/,51.4345555,-0.1852212,OpenStreetMap,False,,
HIGH,Cooking Oil,Bagel Factory,bagel,"Saint John's Hill, SW11 0, London",SW11 0,,,51.4636939,-0.1705905,OpenStreetMap,False,,
HIGH,Cooking Oil,Bagel Factory,bagel,"Saint John's Hill, SW11 5, London",SW11 5,,,51.4636939,-0.1705905,OpenStreetMap,False,,
HIGH,Cooking Oil,Bagel Factory,bagel,"Saint John's Hill, SW11 9, London",SW11 9,,,51.4636939,-0.1705905,OpenStreetMap,False,,
HIGH,Cooking Oil,Balti Kitchen,fast_food,"63, Falcon Road, SW11 0, London",SW11 0,,,51.4681066,-0.1705443,OpenStreetMap,False,,
HIGH,Cooking Oil,Balti Kitchen,fast_food,"63, Falcon Road, SW11 2, London",SW11 2,,,51.4681066,-0.1705443,OpenStreetMap,False,,
HIGH,Cooking Oil,Balti Kitchen,fast_food,"63, Falcon Road, SW11 5, London",SW11 5,,,51.4681066,-0.1705443,OpenStreetMap,False,,
HIGH,Cooking Oil,Balti Kitchen,fast_food,"63, Falcon Road, SW11 9, London",SW11 9,,,51.4681066,-0.1705443,OpenStreetMap,False,,
HIGH,Cooking Oil,Barriga Grill House,pizza_takeaway,"365, Upper Richmond Road, SW15 9, London",SW15 9,,,51.4644297,-0.2374536,OpenStreetMap,False,,
HIGH,Cooking Oil,Basilico,pizza,"175, Lavender Hill, SW11 4, London",SW11 4,,,51.4647247,-0.1594484,OpenStreetMap,False,,
HIGH,Cooking Oil,Basilico,pizza,"175, Lavender Hill, SW11 5, London",SW11 5,,,51.4647247,-0.1594484,OpenStreetMap,False,,
HIGH,Cooking Oil,Battersea Fish Bar,fast_food,"295, Battersea Park Road, SW8 8, London",SW8 8,,,51.4742761,-0.153476,OpenStreetMap,False,,
HIGH,Cooking Oil,Battersea Fish Bar,fast_food,"295, Battersea Park Road, SW11 4, London",SW11 4,,,51.4742761,-0.153476,OpenStreetMap,False,,
