Priority,Lead Type,Business Name,Cuisine Type,Address,Postcode,Phone,Website,Latitude,Longitude,Source,Contacted,Contact_Date,Contact_Notes
HIGH,Cooking Oil,101 Cafeteria,coffee_shop;pizza;sandwich,"101, Charing Cross Road, SW1 4, London",SW1 4,,,51.5139402,-0.1296801,OpenStreetMap,False,,
HIGH,Cooking Oil,Abla,kebab,"W1 0, London",W1 0,,,51.5200077,-0.14246,OpenStreetMap,False,,
HIGH,Cooking Oil,Abla,kebab,"W1 5, London",W1 5,,,51.5200077,-0.14246,OpenStreetMap,False,,
HIGH,Cooking Oil,Abla,kebab,"W1 6, London",W1 6,,,51.5200077,-0.14246,OpenStreetMap,False,,
HIGH,Cooking Oil,Abla,kebab,"W1 7, London",W1 7,,,51.5200077,-0.14246,OpenStreetMap,False,,
HIGH,Cooking Oil,Abla,kebab,"W1 8, London",W1 8,,,51.5200077,-0.14246,OpenStreetMap,False,,
HIGH,Cooking Oil,Abla,kebab,"W1 9, London",W1 9,,,51.5200077,-0.14246,OpenStreetMap,False,,
HIGH,Cooking Oil,Abokado,japanese,"3, Broadway, W1 1, London",W1 1,,https://abokado.com/,51.4987887,-0.1338005,OpenStreetMap,False,,
HIGH,Cooking Oil,Abokado,japanese,"3, Broadway, W1 2, London",W1 2,,https://abokado.com/,51.4987887,-0.1338005,OpenStreetMap,False,,
HIGH,Cooking Oil,Abokado,japanese,"3, Broadway, W1 3, London",W1 3,,https://abokado.com/,51.4987887,-0.1338005,OpenStreetMap,False,,
HIGH,Cooking Oil,Abokado,japanese,"3, Broadway, W1 4, London",W1 4,,https://abokado.com/,51.4987887,-0.1338005,OpenStreetMap,False,,
HIGH,Cooking Oil,Abokado,japanese,"3, Broadway, SW1 2, London",SW1 2,,https://abokado.com/,51.4987887,-0.1338005,OpenStreetMap,False,,
HIGH,Cooking Oil,Abokado,japanese,"95, St Martin's Lane, SW1 4, London",SW1 4,,,51.5106067,-0.1270998,OpenStreetMap,False,,
HIGH,Cooking Oil,Abokado,japanese,"3, Broadway, W2 1, London",W2 1,,https://abokado.com/,51.4987887,-0.1338005,OpenStreetMap,False,,
HIGH,Cooking Oil,Abokado,japanese,"3, Broadway, W2 2, London",W2 2,,https://abokado.com/,51.4987887,-0.1338005,OpenStreetMap,False,,
HIGH,Cooking Oil,Abokado,japanese,"3, Broadway, W2 8, London",W2 8,,https://abokado.com/,51.4987887,-0.1338005,OpenStreetMap,False,,
HIGH,Cooking Oil,Abokado,japanese,"3, Broadway, WC1 0, London",WC1 0,,https://abokado.com/,51.4987887,-0.1338005,OpenStreetMap,False,,
HIGH,Cooking Oil,Abokado,japanese,"3, Broadway, WC1 1, London",WC1 1,,https://abokado.com/,51.4987887,-0.1338005,OpenStreetMap,False,,
HIGH,Cooking Oil,Abokado,japanese,"3, Broadway, WC1 2, London",WC1 2,,https://abokado.com/,51.4987887,-0.1338005,OpenStreetMap,False,,
HIGH,Cooking Oil,Abokado,japanese,"3, Broadway, WC1 3, London",WC1 3,,https://abokado.com/,51.4987887,-0.1338005,OpenStreetMap,False,,
HIGH,Cooking Oil,Abokado,japanese,"3, Broadway, WC1 4, London",WC1 4,,https://abokado.com/,51.4987887,-0.1338005,OpenStreetMap,False,,
HIGH,Cooking Oil,Abokado,japanese,"3, Broadway, WC1 5, London",WC1 5,,https://abokado.com/,51.4987887,-0.1338005,OpenStreetMap,False,,
HIGH,Cooking Oil,Abokado,japanese,"3, Broadway, WC1 6, London",WC1 6,,https://abokado.com/,51.4987887,-0.1338005,OpenStreetMap,False,,
HIGH,Cooking Oil,Abokado,japanese,"3, Broadway, WC1 7, London",WC1 7,,https://abokado.com/,51.4987887,-0.1338005,OpenStreetMap,False,,
HIGH,Cooking Oil,Abokado,japanese,"3, Broadway, WC1 8, London",WC1 8,,https://abokado.com/,51.4987887,-0.1338005,OpenStreetMap,False,,
HIGH,Cooking Oil,Abokado,japanese,"3, Broadway, WC1 9, London",WC1 9,,https://abokado.com/,51.4987887,-0.1338005,OpenStreetMap,False,,
HIGH,Cooking Oil,Aguamiel,mexican,"24, Wellington Street, WC2 1, London",WC2 1,,,51.5120827,-0.1201098,OpenStreetMap,False,,
HIGH,Cooking Oil,Aguamiel,mexican,"24, Wellington Street, WC2 2, London",WC2 2,,,51.5120827,-0.1201098,OpenStreetMap,False,,
HIGH,Cooking Oil,Aguamiel,mexican,"24, Wellington Street, WC2 3, London",WC2 3,,,51.5120827,-0.1201098,OpenStreetMap,False,,
HIGH,Cooking Oil,Aguamiel,mexican,"24, Wellington Street, WC2 4, London",WC2 4,,,51.5120827,-0.1201098,OpenStreetMap,False,,
HIGH,Cooking Oil,Aguamiel,mexican,"24, Wellington Street, WC2 5, London",WC2 5,,,51.5120827,-0.1201098,OpenStreetMap,False,,
HIGH,Cooking Oil,Aguamiel,mexican,"24, Wellington Street, WC2 6, London",WC2 6,,,51.5120827,-0.1201098,OpenStreetMap,False,,
HIGH,Cooking Oil,Aguamiel,mexican,"24, Wellington Street, WC2 7, London",WC2 7,,,51.5120827,-0.1201098,OpenStreetMap,False,,
HIGH,Cooking Oil,Aguamiel,mexican,"24, Wellington Street, WC2 8, London",WC2 8,,,51.5120827,-0.1201098,OpenStreetMap,False,,
HIGH,Cooking Oil,Aguamiel,mexican,"24, Wellington Street, WC2 9, London",WC2 9,,,51.5120827,-0.1201098,OpenStreetMap,False,,
HIGH,Cooking Oil,Al Prince,mediterranean,"65, Praed Street, W2 3, London",W2 3,+44 20 3302 0650,,51.5178129,-0.171409,OpenStreetMap,False,,
HIGH,Cooking Oil,Al Prince,mediterranean,"65, Praed Street, W2 4, London",W2 4,+44 20 3302 0650,,51.5178129,-0.171409,OpenStreetMap,False,,
HIGH,Cooking Oil,Al Prince,mediterranean,"65, Praed Street, W2 5, London",W2 5,+44 20 3302 0650,,51.5178129,-0.171409,OpenStreetMap,False,,
HIGH,Cooking Oil,Al Prince,mediterranean,"65, Praed Street, W2 6, London",W2 6,+44 20 3302 0650,,51.5178129,-0.171409,OpenStreetMap,False,,
HIGH,Cooking Oil,Alley Cats Pizza,pizza,"22, Paddington Street, W1 0, London",W1 0,,https://www.alleycatspizza.co.uk,51.5206623,-0.1553103,OpenStreetMap,False,,
HIGH,Cooking Oil,Alley Cats Pizza,pizza,"22, Paddington Street, W1 5, London",W1 5,,https://www.alleycatspizza.co.uk,51.5206623,-0.1553103,OpenStreetMap,False,,
HIGH,Cooking Oil,Alley Cats Pizza,pizza,"22, Paddington Street, W1 6, London",W1 6,,https://www.alleycatspizza.co.uk,51.5206623,-0.1553103,OpenStreetMap,False,,
HIGH,Cooking Oil,Alley Cats Pizza,pizza,"22, Paddington Street, W1 7, London",W1 7,,https://www.alleycatspizza.co.uk,51.5206623,-0.1553103,OpenStreetMap,False,,
HIGH,Cooking Oil,Alley Cats Pizza,pizza,"22, Paddington Street, W1 8, London",W1 8,,https://www.alleycatspizza.co.uk,51.5206623,-0.1553103,OpenStreetMap,False,,
HIGH,Cooking Oil,Alley Cats Pizza,pizza,"22, Paddington Street, W1 9, London",W1 9,,https://www.alleycatspizza.co.uk,51.5206623,-0.1553103,OpenStreetMap,False,,
HIGH,Cooking Oil,Assenheims 56,fast_food,"3-4, Ludgate Broadway, WC2 1, London",WC2 1,,,51.5134245,-0.1029426,OpenStreetMap,False,,
